name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Mike Trout,2022,27,1.5,0,,0,/ViewCard.cfm/sid/275887/cid/18009081/2022-Topps-27-Mike-Trout,/Images/Cards/Baseball/275887/275887-18009081Fr.jpg,/Images/Cards/Baseball/275887/275887-18009081Bk.jpg
Albert Pujols,2022,237,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009353/2022-Topps-237-Albert-Pujols,/Images/Cards/Baseball/275887/275887-18009353Fr.jpg,/Images/Cards/Baseball/275887/275887-18009353Bk.jpg
Miguel Cabrera,2022,194,1.48,0,,0,/ViewCard.cfm/sid/275887/cid/18009293/2022-Topps-194-Miguel-Cabrera,/Images/Cards/Baseball/275887/275887-18009293Fr.jpg,/Images/Cards/Baseball/275887/275887-18009293Bk.jpg
Justin Verlander,2022,350,,0,,0,/ViewCard.cfm/sid/275887/cid/18764133/2022-Topps-350-Justin-Verlander,/Images/Cards/Baseball/275887/275887-18764133Fr.jpg,/Images/Cards/Baseball/275887/275887-18764133Bk.jpg
Max Scherzer,2022,310,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009448/2022-Topps-310-Max-Scherzer,/Images/Cards/Baseball/275887/275887-18009448Fr.jpg,/Images/Cards/Baseball/275887/275887-18009448Bk.jpg
Clayton Kershaw,2022,41,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009101/2022-Topps-41-Clayton-Kershaw,/Images/Cards/Baseball/275887/275887-18009101Fr.jpg,/Images/Cards/Baseball/275887/275887-18009101Bk.jpg
Mookie Betts,2022,50,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009116/2022-Topps-50-Mookie-Betts,/Images/Cards/Baseball/275887/275887-18009116Fr.jpg,/Images/Cards/Baseball/275887/275887-18009116Bk.jpg
Bryce Harper,2022,250,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009371/2022-Topps-250-Bryce-Harper,/Images/Cards/Baseball/275887/275887-18009371Fr.jpg,/Images/Cards/Baseball/275887/275887-18009371Bk.jpg
Manny Machado,2022,600,,0,,0,/ViewCard.cfm/sid/275887/cid/18764461/2022-Topps-600-Manny-Machado,/Images/Cards/Baseball/275887/275887-18764461Fr.jpg,/Images/Cards/Baseball/275887/275887-18764461Bk.jpg
Kris Bryant,2022,86,1.47,0,,0,/ViewCard.cfm/sid/275887/cid/18009161/2022-Topps-86-Kris-Bryant,/Images/Cards/Baseball/275887/275887-18009161Fr.jpg,/Images/Cards/Baseball/275887/275887-18009161Bk.jpg
Christian Yelich,2022,288,1.1,0,,0,/ViewCard.cfm/sid/275887/cid/18009418/2022-Topps-288-Christian-Yelich,/Images/Cards/Baseball/275887/275887-18009418Fr.jpg,/Images/Cards/Baseball/275887/275887-18009418Bk.jpg
Cody Bellinger,2022,443,,0,,0,/ViewCard.cfm/sid/275887/cid/18764257/2022-Topps-443-Cody-Bellinger,/Images/Cards/Baseball/275887/275887-18764257Fr.jpg,/Images/Cards/Baseball/275887/275887-18764257Bk.jpg
Juan Soto,2022,150,1.49,0,,0,/ViewCard.cfm/sid/275887/cid/18009239/2022-Topps-150-Juan-Soto,/Images/Cards/Baseball/275887/275887-18009239Fr.jpg,/Images/Cards/Baseball/275887/275887-18009239Bk.jpg
Zack Greinke,2022,51,1.19,0,,0,/ViewCard.cfm/sid/275887/cid/18009119/2022-Topps-51-Zack-Greinke,/Images/Cards/Baseball/275887/275887-18009119Fr.jpg,/Images/Cards/Baseball/275887/275887-18009119Bk.jpg
Joey Votto,2022,290,1,0,,0,/ViewCard.cfm/sid/275887/cid/18009421/2022-Topps-290-Joey-Votto,/Images/Cards/Baseball/275887/275887-18009421Fr.jpg,/Images/Cards/Baseball/275887/275887-18009421Bk.jpg
Buster Posey,2022,209,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009317/2022-Topps-209-Buster-Posey,/Images/Cards/Baseball/275887/275887-18009317Fr.jpg,/Images/Cards/Baseball/275887/275887-18009317Bk.jpg
Stephen Strasburg,2022,492,,0,,0,/ViewCard.cfm/sid/275887/cid/18764318/2022-Topps-492-Stephen-Strasburg,/Images/Cards/Baseball/275887/275887-18764318Fr.jpg,/Images/Cards/Baseball/275887/275887-18764318Bk.jpg
Yadier Molina,2022,205,1.6,0,,0,/ViewCard.cfm/sid/275887/cid/18009310/2022-Topps-205-Yadier-Molina,/Images/Cards/Baseball/275887/275887-18009310Fr.jpg,/Images/Cards/Baseball/275887/275887-18009310Bk.jpg
Freddie Freeman,2022,236,1.48,0,,0,/ViewCard.cfm/sid/275887/cid/18009351/2022-Topps-236-Freddie-Freeman,/Images/Cards/Baseball/275887/275887-18009351Fr.jpg,/Images/Cards/Baseball/275887/275887-18009351Bk.jpg
Jacob DeGrom,2022,330,0.99,0,,0,/ViewCard.cfm/sid/275887/cid/18009472/2022-Topps-330-Jacob-deGrom,/Images/Cards/Baseball/275887/275887-18009472Fr.jpg,/Images/Cards/Baseball/275887/275887-18009472Bk.jpg
