name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Tim Raines,1981,816,6,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/86/cid/24106/1981-Topps-Traded-816-Tim-Raines,/Images/Cards/Baseball/86/86-816Fr.jpg,/Images/Cards/Baseball/86/86-816Bk.jpg
Cal Ripken Jr,1982,98T,177,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/90/cid/25041/1982-Topps-Traded-98T-Cal-Ripken,/Images/Cards/Baseball/90/90-25041RepFr.jpg,/Images/Cards/Baseball/90/90-25041RepBk.jpg
Darryl Strawberry,1983,108T,25,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/94/cid/25976/1983-Topps-Traded-108T-Darryl-Strawberry,/Images/Cards/Baseball/94/94-108TFr.jpg,/Images/Cards/Baseball/94/94-108TBk.jpg
Julio Franco,1983,34T,6,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/94/cid/25902/1983-Topps-Traded-34T-Julio-Franco,/Images/Cards/Baseball/94/94-25902Fr.jpg,/Images/Cards/Baseball/94/94-25902Bk.jpg
Dwight Gooden,1984,42T,23.5,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/99/cid/33992/1984-Topps-Traded-42T-Dwight-Gooden,/Images/Cards/Baseball/99/99-42TFr.jpg,/Images/Cards/Baseball/99/99-42TBk.jpg
Vince Coleman,1985,24T,0.78,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/104/cid/34974/1985-Topps-Traded-24T-Vince-Coleman,/Images/Cards/Baseball/104/104-24TFr.jpg,/Images/Cards/Baseball/104/104-24TBk.jpg
Barry Bonds,1986,11T,10,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35111/1986-Topps-Traded-11T-Barry-Bonds,/Images/Cards/Baseball/111/111-35111RepFr.jpg,/Images/Cards/Baseball/111/111-35111RepBk.jpg
Bo Jackson,1986,50T,15,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35150/1986-Topps-Traded-50T-Bo-Jackson,/Images/Cards/Baseball/111/111-35150RepFr.jpg,/Images/Cards/Baseball/111/111-35150RepBk.jpg
Bobby Bonilla,1986,12T,1,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35112/1986-Topps-Traded-12T-Bobby-Bonilla,/Images/Cards/Baseball/111/111-12TFr.jpg,/Images/Cards/Baseball/111/111-12TBk.jpg
Jose Canseco,1986,20T,4,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35120/1986-Topps-Traded-20T-Jose-Canseco,/Images/Cards/Baseball/111/111-35120RepFr.jpg,/Images/Cards/Baseball/111/111-35120RepBk.jpg
Kevin Mitchell,1986,74T,1.15,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35174/1986-Topps-Traded-74T-Kevin-Mitchell,/Images/Cards/Baseball/111/111-35174RepFr.jpg,/Images/Cards/Baseball/111/111-35174RepBk.jpg
Will Clark,1986,24T,2,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/111/cid/35124/1986-Topps-Traded-24T-Will-Clark,/Images/Cards/Baseball/111/111-24TFr.jpg,/Images/Cards/Baseball/111/111-24TBk.jpg
Fred McGriff,1987,74T,1.3,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/118/cid/36174/1987-Topps-Traded-74T-Fred-McGriff,/Images/Cards/Baseball/118/118-74TFr.jpg,/Images/Cards/Baseball/118/118-36174RepBk.jpg
Greg Maddux,1987,70T,10,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/118/cid/36170/1987-Topps-Traded-70T-Greg-Maddux,/Images/Cards/Baseball/118/118-70TFr.jpg,/Images/Cards/Baseball/118/118-70TBk.jpg
Matt Williams,1987,129T,1.25,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/118/cid/36229/1987-Topps-Traded-129T-Matt-Williams,/Images/Cards/Baseball/118/118-129TFr.jpg,/Images/Cards/Baseball/118/118-129TBk.jpg
Roberto Alomar,1988,4T,3,0,"",0,https://www.tcdb.com/ViewCard.cfm/sid/126/cid/54654/1988-Topps-Traded-4T-Roberto-Alomar,/Images/Cards/Baseball/126/126-54654RepFr.jpg,/Images/Cards/Baseball/126/126-54654RepBk.jpg
