name,year,number,price,own,type,ebay
Adrian Beltre,2013,29,0.59,0,first_ballot,1
Adrian Beltre,2014,161,0.4,0,first_ballot,1
Max Scherzer,2014,297,0.6,0,first_ballot,1
Chase Utley,2013,26,0.99,0,vet_or_other,1
Felix Hernandez,2013,34,0.3,0,vet_or_other,1
Andruw Jones,2013,326,1,0,vet_or_other,1
Mark Buehrle,2013,414,0.75,0,vet_or_other,1
Todd Helton,2013,532,0.6,0,vet_or_other,1
Todd Helton,2014,17,0.5,0,vet_or_other,1
Mark Buehrle,2014,30,0.75,0,vet_or_other,1
Zack Greinke,2014,142,0.5,0,vet_or_other,1
Chase Utley,2014,502,0.25,0,vet_or_other,1
Carlos Beltran,2015,45,0.75,0,vet_or_other,1
David Wright,2015,83,0.6,0,vet_or_other,1
Tim Hudson,2015,86,0.5,0,vet_or_other,1
Chase Utley,2015,163,0.5,0,vet_or_other,1
Christian Yelich,2015,178,0.99,0,vet_or_other,1
Mark Teixeira,2015,307,0.5,0,vet_or_other,1
Felix Hernandez,2015,325,0.3,0,vet_or_other,1
Alex Rodriguez,2015,493,0.75,0,vet_or_other,1
Robinson Cano,2016,268,0.5,0,vet_or_other,1
