year,number,name,team,card_url
1960,316,Willie McCovey,San Francisco Giants,/ViewCard.cfm/sid/47/cid/27916/1960-Topps-316-Willie-McCovey
1960,317,Pumpsie Green,Boston Red Sox,/ViewCard.cfm/sid/47/cid/27917/1960-Topps-317-Pumpsie-Green
1960,318,Jim Baxes,Cleveland Indians,/ViewCard.cfm/sid/47/cid/27918/1960-Topps-318-Jim-Baxes
1960,319,Joe Koppe,Philadelphia Phillies,/ViewCard.cfm/sid/47/cid/27919/1960-Topps-319-Joe-Koppe
1960,320,Bob Allison,Washington Senators,/ViewCard.cfm/sid/47/cid/27920/1960-Topps-320-Bob-Allison
1960,321,Ron Fairly,Los Angeles Dodgers,/ViewCard.cfm/sid/47/cid/27921/1960-Topps-321-Ron-Fairly
1960,322,Willie Tasby,Baltimore Orioles,/ViewCard.cfm/sid/47/cid/27922/1960-Topps-322-Willie-Tasby
1960,323,Johnny Romano,Cleveland Indians,/ViewCard.cfm/sid/47/cid/27923/1960-Topps-323-Johnny-Romano
1960,324,Jim Perry,Cleveland Indians,/ViewCard.cfm/sid/47/cid/27924/1960-Topps-324-Jim-Perry
1960,325,Jim O'Toole,Cincinnati Reds,/ViewCard.cfm/sid/47/cid/27925/1960-Topps-325-Jim-O'Toole
1961,35,Ron Santo,Chicago Cubs,/ViewCard.cfm/sid/51/cid/9141/1961-Topps-35-Ron-Santo
1961,77,Dick Stigman,Cleveland Indians,/ViewCard.cfm/sid/51/cid/9183/1961-Topps-77-Dick-Stigman
1961,144,Jim Coker,Philadelphia Phillies,/ViewCard.cfm/sid/51/cid/9252/1961-Topps-144-Jim-Coker
1961,148,Julian Javier,St. Louis Cardinals,/ViewCard.cfm/sid/51/cid/9256/1961-Topps-148-Julian-Javier
1961,168,Tommy Davis,Los Angeles Dodgers,/ViewCard.cfm/sid/51/cid/9276/1961-Topps-168-Tommy-Davis
1961,240,Ron Hansen,Baltimore Orioles,/ViewCard.cfm/sid/51/cid/9349/1961-Topps-240-Ron-Hansen
1961,262,Tony Curry,Philadelphia Phillies,/ViewCard.cfm/sid/51/cid/9371/1961-Topps-262-Tony-Curry
1961,395,Chuck Estrada,Baltimore Orioles,/ViewCard.cfm/sid/51/cid/9506/1961-Topps-395-Chuck-Estrada
1961,559,Jim Gentile,Baltimore Orioles,/ViewCard.cfm/sid/51/cid/9671/1961-Topps-559-Jim-Gentile
1962,35,Don Schwall,Boston Red Sox,/ViewCard.cfm/sid/55/cid/28286/1962-Topps-35-Don-Schwall
1962,91,J.C. Martin,Chicago White Sox,/ViewCard.cfm/sid/55/cid/28342/1962-Topps-91-J.C.-Martin
1962,154,Lee Thomas,Los Angeles Angels,/ViewCard.cfm/sid/55/cid/28411/1962-Topps-154-Lee-Thomas
1962,218,Joe Torre,Milwaukee Braves,/ViewCard.cfm/sid/55/cid/28479/1962-Topps-218-Joe-Torre
1962,283,Charlie Smith,Chicago White Sox,/ViewCard.cfm/sid/55/cid/28544/1962-Topps-283-Charlie-Smith
1962,288,Billy Williams,Chicago Cubs,/ViewCard.cfm/sid/55/cid/28549/1962-Topps-288-Billy-Williams
1962,372,Jack Curtis,Chicago Cubs,/ViewCard.cfm/sid/55/cid/28633/1962-Topps-372-Jack-Curtis
1962,427,Jake Wood,Detroit Tigers,/ViewCard.cfm/sid/55/cid/28688/1962-Topps-427-Jake-Wood
1962,454,Floyd Robinson,Chicago White Sox,/ViewCard.cfm/sid/55/cid/28715/1962-Topps-454-Floyd-Robinson
1963,67,Ed Charles,Kansas City Athletics,/ViewCard.cfm/sid/60/cid/10379/1963-Topps-67-Ed-Charles
1963,111,Al Jackson,New York Mets,/ViewCard.cfm/sid/60/cid/10424/1963-Topps-111-Al-Jackson
1963,195,Manny Jimenez,Kansas City Athletics,/ViewCard.cfm/sid/60/cid/10508/1963-Topps-195-Manny-Jimenez
1963,211,Fred Whitfield,Cleveland Indians,/ViewCard.cfm/sid/60/cid/10524/1963-Topps-211-Fred-Whitfield
1963,280,Bob Rodgers,Los Angeles Angels,/ViewCard.cfm/sid/60/cid/10593/1963-Topps-280-Bob-Rodgers
1963,351,Al Luplow,Cleveland Indians,/ViewCard.cfm/sid/60/cid/10665/1963-Topps-351-Al-Luplow
