name,year,number,price,own,type,ebay
Max Scherzer,2011,33,0.38,0,first_ballot,1
Mariano Rivera,2011,42,1,0,first_ballot,1
Albert Pujols,2011,100,1.5,0,first_ballot,1
Miguel Cabrera,2011,150,1.25,0,first_ballot,1
Chipper Jones,2011,169,0.59,0,first_ballot,1
Ichiro Suzuki,2011,200,1.5,0,first_ballot,1
Jim Thome,2011,253,0.6,0,first_ballot,1
Clayton Kershaw,2011,275,1,0,first_ballot,1
Adrian Beltre,2011,302,0.25,0,first_ballot,1
David Ortiz,2011,315,0.6,0,first_ballot,1
Ivan Rodriguez,2011,360,0.6,0,first_ballot,1
Vladimir Guerrero,2011,67,0.43,0,bbwaa,1
Trevor Hoffman,2011,277,0.15,0,bbwaa,1
Joey Votto,2011,5,1,0,vet_or_other,1
Billy Wagner,2011,13,0.15,0,vet_or_other,1
David Wright,2011,15,0.35,0,vet_or_other,1
Alex Rodriguez,2011,50,1.25,0,vet_or_other,1
Tim Hudson,2011,77,0.15,0,vet_or_other,1
Zack Greinke,2011,108,0.15,0,vet_or_other,1
Manny Ramirez,2011,128,0.25,0,vet_or_other,1
Robinson Cano,2011,130,0.3,0,vet_or_other,1
Stephen Strasburg,2011,183,1,0,vet_or_other,1
Buster Posey,2011,198,1.88,0,vet_or_other,1
Chase Utley,2011,214,0.43,0,vet_or_other,1
Todd Helton,2011,220,0.38,0,vet_or_other,1
Scott Rolen,2011,228,0.15,0,vet_or_other,1
Mark Buehrle,2011,231,0.22,0,vet_or_other,1
Omar Vizquel,2011,243,0.28,0,vet_or_other,1
Mark Teixeira,2011,450,0.6,0,vet_or_other,1
Carlos Beltran,2011,515,0.6,0,vet_or_other,1
Felix Hernandez,2011,530,0.6,0,vet_or_other,1
