title,date,bids,price
1952 Topps Set Break # 33 - Warren Spahn VG-VGEX (black back) *GMCARDS*,2020-09-13,15,91.74
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-08-28,19,38.77
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-07-31,10,32
1952 Topps Set Break # 88 - Bob Feller VG-VGEX (crease) (stain) *GMCARDS*,2020-08-07,9,36
1953 Topps Set Break # 1 Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-09-11,34,726.99
1953 Topps Set Break # 1 Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-09-11,21,183.5
1953 Topps Set Break # 1 Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-08-14,23,302
1953 Topps Set Break # 54 Bob Feller LOW GRADE (crease) *GMCARDS*,2020-10-23,20,36
1953 Topps Set Break # 54 Bob Feller EX-EXMINT *GMCARDS*,2020-09-30,20,79
1953 Topps Set Break # 54 Bob Feller EX-EXMINT *GMCARDS*,2020-09-17,31,128.07
1953 Topps Set Break # 54 Bob Feller VG-VGEX *GMCARDS*,2020-09-13,19,83.85
1953 Topps Set Break # 54 Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-08-14,15,67
1953 Topps Set Break # 54 Bob Feller EX-EXMINT *GMCARDS*,2020-08-09,27,142.5
1953 Topps Set Break # 54 Bob Feller LOW GRADE (crease) *GMCARDS*,2020-07-31,14,26
1953 Topps Set Break #147 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-10-23,13,38.8
1953 Topps Set Break #147 Warren Spahn EX-EXMINT *GMCARDS*,2020-09-13,30,112.5
1953 Topps Set Break #147 Warren Spahn LOW GRADE (crease) (marked) *GMCARDS*,2020-08-21,13,15.5
1953 Topps Set Break #147 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-07-31,14,31.07
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-10-16,20,55.55
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-16,22,78
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-09,19,81.11
1954 Topps Set Break # 1 - Ted Williams VG-VGEX *GMCARDS*,2020-10-04,26,185.5
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-18,21,67.5
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-18,13,73.76
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-08-28,17,53
1954 Topps Set Break # 1 Ted Williams LOW GRADE (crease) (paper loss) *GMCARDS*,2020-08-21,21,41
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (pin hole) *GMCARDS*,2020-08-14,24,95.98
1954 Topps Set Break # 10 - Jackie Robinson VG-VGEX *GMCARDS*,2020-10-18,45,320
1954 Topps Set Break # 10 - Jackie Robinson VG-VGEX *GMCARDS*,2020-10-04,38,320
1954 Topps Set Break # 10 - Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-10-02,26,143.5
1954 Topps Set Break # 10 - Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-09-18,49,157
1954 Topps Set Break # 10 - Jackie Robinson VG-VGEX *GMCARDS*,2020-09-02,33,280.42
1954 Topps Set Break # 10 - Jackie Robinson EX-EXMINT *GMCARDS*,2020-08-02,44,335.69
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX *GMCARDS*,2020-10-06,13,45
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX *GMCARDS*,2020-10-04,13,45
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX (crease) *GMCARDS*,2020-09-25,13,30
1954 Topps Set Break # 20 - Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-09-11,10,16.29
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX *GMCARDS*,2020-09-09,19,31.01
1954 Topps Set Break # 20 - Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-08-28,13,15.66
