title,date,bids,price
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE (black back) *GMCARDS*,2020-12-04,22,47
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE *GMCARDS*,2020-11-27,15,63
1952 Topps Set Break # 33 - Warren Spahn VG-VGEX (black back) *GMCARDS*,2020-11-22,39,117.5
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE (black) *GMCARDS*,2020-11-20,12,58.55
1952 Topps Set Break # 33 - Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-11-13,18,32
1952 Topps # 33 - Warren Spahn LOW GRADE (crease) (black back) *GMCARDS*,2020-10-30,19,57
1952 Topps Set Break # 88 Bob Feller VG-VGEX *GMCARDS*,2020-01-04,58,213.33
1952 Topps Set Break #88 Bob Feller VG-VGEX *GMCARDS*,2020-12-20,15,47
1952 Topps Set Break # 88 - Bob Feller LOW GRADE *GMCARDS*,2020-12-04,20,43
1952 Topps Set Break # 88 - Bob Feller LOW GRADE (filler) *GMCARDS*,2020-11-27,19,31
1952 Topps Set Break # 88 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-11-27,20,62.1
1952 Topps Set Break # 88 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-11-20,14,45.66
1952 Topps Set Break # 88 - Bob Feller LOW GRADE (filler) *GMCARDS*,2020-11-13,25,32.1
1953 Topps Set Break # 1 Jackie Robinson LOW GRADE (filler) *GMCARDS*,2020-01-02,32,305
1953 Topps Set Break #1 Jackie Robinson LOW GRADE (filler) *GMCARDS*,2020-12-18,38,184.24
1953 Topps Set Break # 1 Jackie Robinson VG-VGEX (wrinkle) *GMCARDS*,2020-12-11,48,535.05
1953 Topps Set Break # 1 Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-11-20,30,375
1953 Topps Set Break # 54 Bob Feller EX-EXMINT *GMCARDS*,2020-01-04,28,143.5
1953 Topps Set Break #54 Bob Feller VG-VGEX (crease) *GMCARDS*,2020-12-18,17,51
1953 Topps Set Break # 54 Bob Feller EX-EXMINT *GMCARDS*,2020-12-08,47,136
1953 Topps Set Break # 54 Bob Feller VG-VGEX *GMCARDS*,2020-11-29,18,59.99
1953 Topps Set Break # 54 Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-11-06,23,68.88
1953 Topps Set Break # 54 Bob Feller LOW GRADE (crease) *GMCARDS*,2020-10-23,20,36
1953 Topps Set Break # 82 Mickey Mantle LOW GRADE (filler) *GMCARDS*,2020-11-20,61,985
1953 Topps Set Break #147 Warren Spahn NR-MINT *GMCARDS*,2020-01-04,37,302.51
1953 Topps Set Break #147 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-12-18,12,39.88
1953 Topps Set Break #147 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-11-27,15,46
1953 Topps Set Break #147 Warren Spahn VG-VGEX *GMCARDS*,2020-11-19,21,50.01
1953 Topps Set Break #147 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-10-23,13,38.8
1954 Topps Set Break #1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-12-18,30,87
1954 Topps Set Break # 1 - Ted Williams VG-VGEX *GMCARDS*,2020-12-13,20,173.65
1954 Topps Set Break # 1 - Ted Williams VG-VGEX (crease) *GMCARDS*,2020-12-11,24,270
1954 Topps Set Break # 1 - Ted Williams EX-EXMINT *GMCARDS*,2020-12-08,32,540
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-12-04,19,54
1954 Topps Set Break # 1 - Ted Williams VG-VGEX (crease) *GMCARDS*,2020-11-27,15,143.6
1954 Topps Set Break # 1 - Ted Williams LOW GRADE *GMCARDS*,2020-11-27,18,113.6
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-11-20,26,57
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-11-13,15,64
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-11-06,22,73
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-10-16,20,55.55
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-16,22,78
1954 Topps Set Break # 1 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-09,19,81.11
1954 Topps Set Break #10 Jackie Robinson LOW GRADE (filler) *GMCARDS*,2020-12-25,31,152.5
1954 Topps Set Break #10 Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-12-18,28,189.36
1954 Topps Set Break # 10 - Jackie Robinson LOW GRADE (filler) *GMCARDS*,2020-12-04,17,102.5
1954 Topps Set Break # 10 - Jackie Robinson EX-EXMINT *GMCARDS*,2020-11-29,28,545.13
1954 Topps Set Break # 10 - Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-11-27,29,173.5
1954 Topps Set Break # 10 - Jackie Robinson VG-VGEX (wrinkle) *GMCARDS*,2020-11-20,50,228.5
1954 Topps Set Break # 10 - Jackie Robinson VG-VGEX *GMCARDS*,2020-10-18,45,320
1954 Topps Set Break #20 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-12-18,12,16.5
1954 Topps Set Break # 20 - Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-12-18,6,9.05
1954 Topps Set Break # 20 - Warren Spahn EX-EXMINT *GMCARDS*,2020-12-08,22,47.5
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX (crease) *GMCARDS*,2020-12-04,14,26.55
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX *GMCARDS*,2020-12-03,20,46.55
1954 Topps Set Break # 20 - Warren Spahn VG-VGEX *GMCARDS*,2020-11-29,10,31.02
1954 Topps Set Break #90 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-12-25,21,156.5
1954 Topps Set Break #90 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-12-18,22,161.5
1954 Topps Set Break # 90 - Willie Mays VG-VGEX (wrinkle) *GMCARDS*,2020-12-11,30,176.16
1954 Topps Set Break # 90 - Willie Mays VG-VGEX *GMCARDS*,2020-11-29,23,214.05
1954 Topps Set Break # 90 - Willie Mays LOW GRADE (crease) *GMCARDS*,2020-11-20,30,84
1954 Topps Set Break # 90 - Willie Mays LOW GRADE (crease) *GMCARDS*,2020-11-06,36,144.5
1954 Topps Set Break # 90 - Willie Mays LOW GRADE (crease) *GMCARDS*,2020-10-09,31,108.5
1954 Topps Set Break #94 Ernie Banks VG-VGEX *GMCARDS*,2020-12-16,26,716
1954 Topps Set Break #201 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-12-18,27,155.79
