name,year,number,condition,date,bids,price
Warren Spahn,1952,33,VG-VGEX (black back),2020-09-13,15,91.74
Warren Spahn,1952,33,LOW GRADE (crease),2020-08-28,19,38.77
Warren Spahn,1952,33,LOW GRADE (crease),2020-07-31,10,32
Bob Feller,1952,88,VG-VGEX (crease) (stain),2020-08-07,9,36
Jackie Robinson,1953,1,VG-VGEX (crease),2020-09-11,34,726.99
Jackie Robinson,1953,1,LOW GRADE (crease),2020-09-11,21,183.5
Jackie Robinson,1953,1,LOW GRADE (crease),2020-08-14,23,302
Bob Feller,1953,54,LOW GRADE (crease),2020-10-23,20,36
Bob Feller,1953,54,EX-EXMINT,2020-09-30,20,79
Bob Feller,1953,54,EX-EXMINT,2020-09-17,31,128.07
Bob Feller,1953,54,VG-VGEX,2020-09-13,19,83.85
Bob Feller,1953,54,VG-VGEX (wrinkle),2020-08-14,15,67
Bob Feller,1953,54,EX-EXMINT,2020-08-09,27,142.5
Bob Feller,1953,54,LOW GRADE (crease),2020-07-31,14,26
Warren Spahn,1953,147,LOW GRADE (crease),2020-10-23,13,38.8
Warren Spahn,1953,147,EX-EXMINT,2020-09-13,30,112.5
Warren Spahn,1953,147,LOW GRADE (crease) (marked),2020-08-21,13,15.5
Warren Spahn,1953,147,LOW GRADE (crease),2020-07-31,14,31.07
Ted Williams,1954,1,LOW GRADE (filler),2020-10-16,20,55.55
Ted Williams,1954,1,LOW GRADE (crease),2020-10-16,22,78
Ted Williams,1954,1,LOW GRADE (crease),2020-10-09,19,81.11
Ted Williams,1954,1,VG-VGEX,2020-10-04,26,185.5
Ted Williams,1954,1,LOW GRADE (crease),2020-09-18,21,67.5
Ted Williams,1954,1,LOW GRADE (crease),2020-09-18,13,73.76
Ted Williams,1954,1,LOW GRADE (filler),2020-08-28,17,53
Ted Williams,1954,1,LOW GRADE (crease) (paper loss),2020-08-21,21,41
Ted Williams,1954,1,LOW GRADE (pin hole),2020-08-14,24,95.98
Jackie Robinson,1954,10,VG-VGEX,2020-10-18,45,320
Jackie Robinson,1954,10,VG-VGEX,2020-10-04,38,320
Jackie Robinson,1954,10,LOW GRADE (crease),2020-10-02,26,143.5
Jackie Robinson,1954,10,LOW GRADE (crease),2020-09-18,49,157
Jackie Robinson,1954,10,VG-VGEX,2020-09-02,33,280.42
Jackie Robinson,1954,10,EX-EXMINT,2020-08-02,44,335.69
Warren Spahn,1954,20,VG-VGEX,2020-10-06,13,45
Warren Spahn,1954,20,VG-VGEX,2020-10-04,13,45
Warren Spahn,1954,20,VG-VGEX (crease),2020-09-25,13,30
Warren Spahn,1954,20,LOW GRADE (filler),2020-09-11,10,16.29
Warren Spahn,1954,20,VG-VGEX,2020-09-09,19,31.01
Warren Spahn,1954,20,LOW GRADE (crease),2020-08-28,13,15.66
Warren Spahn,1954,20,VG-VGEX,2020-08-19,48,39.36
Warren Spahn,1954,20,VG-VGEX,2020-08-12,12,43
Warren Spahn,1954,20,VG-VGEX,2020-08-09,46,42.02
Willie Mays,1954,90,LOW GRADE (crease),2020-10-09,31,108.5
Willie Mays,1954,90,VG-VGEX,2020-10-04,39,232.5
Willie Mays,1954,90,LOW GRADE (filler),2020-10-02,20,117.5
Willie Mays,1954,90,LOW GRADE (crease),2020-09-18,19,102.5
Willie Mays,1954,90,VG-VGEX,2020-08-02,41,375
Ernie Banks,1954,94,LOW GRADE (crease),2020-09-18,37,329.01
Ernie Banks,1954,94,LOW GRADE,2020-09-04,24,422
Ernie Banks,1954,94,VG-VGEX (minimum size) (wrinkle),2020-08-14,24,410
Ernie Banks,1954,94,VG-VGEX,2020-08-09,29,895.51
Al Kaline,1954,201,VG-VGEX,2020-10-04,26,355
Ted Williams,1955,2,VG-VGEX,2020-10-04,22,227.5
Ted Williams,1955,2,LOW GRADE (crease),2020-10-02,33,147.5
Ted Williams,1955,2,VG-VGEX (wrinkle),2020-09-18,19,128.27
Ted Williams,1955,2,LOW GRADE,2020-09-18,21,100.99
Ted Williams,1955,2,VG-VGEX (wrinkle),2020-09-11,34,138.5
Ted Williams,1955,2,VG-VGEX,2020-08-30,26,118
Al Kaline,1955,4,VG-VGEX,2020-10-04,18,72
Al Kaline,1955,4,VG-VGEX (wrinkle),2020-09-25,17,61
Al Kaline,1955,4,LOW GRADE (crease),2020-09-25,12,32
Al Kaline,1955,4,VG-VGEX,2020-09-22,23,48
Al Kaline,1955,4,VG-VGEX (wrinkle),2020-09-18,16,53.08
Al Kaline,1955,4,VG-VGEX,2020-09-13,29,113.5
Al Kaline,1955,4,EX-EXMINT,2020-09-05,32,158.5
Al Kaline,1955,4,LOW GRADE,2020-08-21,16,38.89
Al Kaline,1955,4,EX-EXMINT,2020-08-16,24,132.5
Al Kaline,1955,4,VG-VGEX,2020-08-09,20,70
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-16,26,61
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-09,18,69
Ernie Banks,1955,28,VG-VGEX,2020-10-04,19,178.53
Ernie Banks,1955,28,LOW GRADE (crease),2020-10-02,20,45.79
Ernie Banks,1955,28,LOW GRADE,2020-10-02,21,46
Ernie Banks,1955,28,LOW GRADE (crease),2020-09-25,19,38
Ernie Banks,1955,28,VG-VGEX,2020-09-22,28,144.5
Ernie Banks,1955,28,VG-VGEX,2020-09-20,18,118.05
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-09-11,27,76.33
Ernie Banks,1955,28,LOW GRADE (crease),2020-09-11,20,37
Ernie Banks,1955,28,VG-VGEX,2020-09-05,22,84.89
Ernie Banks,1955,28,VG-VGEX (crease),2020-08-28,21,67.02
Ernie Banks,1955,28,EX-EXMINT,2020-08-27,32,227.5
Ernie Banks,1955,28,VG-VGEX,2020-08-09,16,59.15
Ernie Banks,1955,28,LOW GRADE (crease),2020-07-31,11,47.01
Warren Spahn,1955,31,VG-VGEX (wrinkle),2020-10-16,9,18.68
Warren Spahn,1955,31,VG-VGEX,2020-10-06,11,33.52
Warren Spahn,1955,31,VG-VGEX,2020-10-04,15,40
Warren Spahn,1955,31,VG-VGEX,2020-09-24,12,41.66
Warren Spahn,1955,31,VG-VGEX,2020-09-22,13,20.01
Warren Spahn,1955,31,VG-VGEX,2020-09-20,12,32
Warren Spahn,1955,31,VG-VGEX,2020-09-13,12,39.38
Warren Spahn,1955,31,VG-VGEX (crease),2020-08-28,5,21.5
Warren Spahn,1955,31,LOW GRADE (crease),2020-08-21,17,26
Warren Spahn,1955,31,VG-VGEX,2020-08-09,55,69
Warren Spahn,1955,31,LOW GRADE (crease),2020-07-31,6,13.51
Warren Spahn,1955,31,LOW GRADE (crease),2020-07-31,8,13.5
Hank Aaron,1955,47,VG-VGEX,2020-10-04,38,290
Hank Aaron,1955,47,VG-VGEX,2020-09-22,43,457.1
Hank Aaron,1955,47,VG-VGEX,2020-09-20,39,221.5
Hank Aaron,1955,47,LOW GRADE (crease),2020-08-28,28,164.02
Hank Aaron,1955,47,LOW GRADE (crease),2020-08-28,16,62
Hank Aaron,1955,47,LOW GRADE (crease),2020-07-31,24,158.5
Jackie Robinson,1955,50,VG-VGEX (crease),2020-10-02,38,277
Jackie Robinson,1955,50,VG-VGEX,2020-09-22,40,312.5
Jackie Robinson,1955,50,VG-VGEX,2020-09-20,32,380
Jackie Robinson,1955,50,LOW GRADE (crease),2020-09-18,33,187.5
Sandy Koufax,1955,123,LOW GRADE (crease),2020-09-18,24,320
Sandy Koufax,1955,123,VG-VGEX,2020-09-09,33,553
Sandy Koufax,1955,123,LOW GRADE (crease) (tear),2020-08-21,28,205.5
Sandy Koufax,1955,123,LOW GRADE (crease),2020-08-14,31,274
Roberto Clemente,1955,164,VG-VGEX (minimum size) (wrinkle),2020-08-14,51,775
Willie Mays,1955,194,VG-VGEX,2020-10-04,29,266
Willie Mays,1955,194,LOW GRADE,2020-09-25,34,191.5
Willie Mays,1955,194,VG-VGEX (wrinkle),2020-09-11,30,186.5
Willie Mays,1955,194,LOW GRADE (crease),2020-09-11,24,142.5
Willie Mays,1955,194,EX-EXMINT,2020-09-09,56,716.96
Willie Mays,1955,194,VG-VGEX (crease),2020-08-21,37,353.48
Willie Mays,1955,194,VG-VGEX (stain),2020-08-14,36,282.77
Ted Williams,1956,5,EX-EXMINT (white back),2020-10-04,34,288
Ted Williams,1956,5,LOW GRADE (crease),2020-09-25,18,96
Ted Williams,1956,5,VG-VGEX (crease) (white back),2020-09-25,32,91.1
Ted Williams,1956,5,LOW GRADE (filler),2020-09-25,25,53
Ted Williams,1956,5,VG-VGEX (white back),2020-09-22,21,188
Ted Williams,1956,5,VG-VGEX (wrinkle),2020-09-18,30,202.1
Ted Williams,1956,5,LOW GRADE (crease) (white back),2020-09-18,16,80
Ted Williams,1956,5,EX-EXMINT (white back),2020-09-13,30,258
Ted Williams,1956,5,LOW GRADE (crease),2020-09-11,19,52
Ted Williams,1956,5,LOW GRADE (crease),2020-09-11,20,67.66
Ted Williams,1956,5,VG-VGEX (white back),2020-08-09,29,152.5
Warren Spahn,1956,10,NR-MINT,2020-10-25,20,117.5
Warren Spahn,1956,10,VG-VGEX (wrinkle),2020-10-09,13,31.55
Warren Spahn,1956,10,VG-VGEX (white back),2020-10-06,9,24.52
Warren Spahn,1956,10,EX-EXMINT (white back),2020-10-04,19,76
Warren Spahn,1956,10,EX-EXMINT,2020-09-30,11,37.06
Warren Spahn,1956,10,VG-VGEX,2020-09-28,21,36
Warren Spahn,1956,10,VG-VGEX (white back),2020-09-24,9,27.75
Warren Spahn,1956,10,EX-EXMINT (white back),2020-09-22,24,78.26
Warren Spahn,1956,10,EX-EXMINT,2020-09-20,13,69.66
Warren Spahn,1956,10,EX-EXMINT (white back) (marked),2020-09-18,10,34
Warren Spahn,1956,10,EX-EXMINT (white back),2020-09-16,19,68
Warren Spahn,1956,10,EX-EXMINT (white back),2020-09-13,21,67
Warren Spahn,1956,10,LOW GRADE (white back),2020-09-11,12,21.06
Warren Spahn,1956,10,LOW GRADE (filler) (tape),2020-08-28,14,18.5
Warren Spahn,1956,10,VG-VGEX (white back),2020-08-27,10,22.5
Warren Spahn,1956,10,VG-VGEX,2020-08-19,25,28.5
Warren Spahn,1956,10,VG-VGEX (wrinkle),2020-08-14,15,33
Warren Spahn,1956,10,LOW GRADE (white back),2020-08-14,10,12.5
Ernie Banks,1956,15,EX-EXMINT (white back),2020-10-06,23,95.88
Ernie Banks,1956,15,EX-EXMINT (white back),2020-10-04,19,84
Ernie Banks,1956,15,VG-VGEX,2020-09-30,14,104.5
Ernie Banks,1956,15,VG-VGEX (white back),2020-09-24,11,35
Ernie Banks,1956,15,VG-VGEX (white back),2020-09-22,20,79
Ernie Banks,1956,15,VG-VGEX (white back),2020-09-20,18,71
Ernie Banks,1956,15,LOW GRADE (filler),2020-09-18,22,40.39
Ernie Banks,1956,15,VG-VGEX (white back),2020-09-16,24,61.6
Ernie Banks,1956,15,EX-EXMINT,2020-09-13,23,140.5
Ernie Banks,1956,15,VG-VGEX (crease) (white back),2020-09-11,20,39
Ernie Banks,1956,15,LOW GRADE,2020-09-11,14,28
Ernie Banks,1956,15,VG-VGEX (minimum size),2020-09-04,16,76
Ernie Banks,1956,15,VG-VGEX,2020-08-23,30,83.75
Ernie Banks,1956,15,VG-VGEX (wrinkle),2020-08-21,12,42
Ernie Banks,1956,15,VG-VGEX (crease),2020-08-21,11,38
Ernie Banks,1956,15,VG-VGEX (crease) (white back),2020-08-21,12,26.55
Ernie Banks,1956,15,VG-VGEX (white back),2020-08-16,26,104.74
Ernie Banks,1956,15,LOW GRADE (crease) (white back),2020-07-31,10,14.5
Ernie Banks,1956,15,LOW GRADE (crease) (white),2020-07-31,12,21.5
Al Kaline,1956,20,VG-VGEX (white back),2020-10-25,13,57
Al Kaline,1956,20,VG-VGEX,2020-10-18,19,66
Al Kaline,1956,20,VG-VGEX (white back),2020-10-07,9,28.88
Al Kaline,1956,20,VG-VGEX (white back),2020-10-06,16,53.55
Al Kaline,1956,20,VG-VGEX (white back),2020-10-04,19,51
Al Kaline,1956,20,VG-VGEX,2020-10-01,12,57
Al Kaline,1956,20,VG-VGEX (white back),2020-09-30,16,46
Al Kaline,1956,20,VG-VGEX (white back),2020-09-28,17,53
Al Kaline,1956,20,VG-VGEX (white back),2020-09-24,20,40.68
Al Kaline,1956,20,EX-EXMINT (white back),2020-09-22,43,155.5
Al Kaline,1956,20,EX-EXMINT,2020-09-20,21,102.5
Al Kaline,1956,20,EX-EXMINT (white back),2020-09-16,17,68
Al Kaline,1956,20,EX-EXMINT (white back),2020-09-13,19,111.5
Al Kaline,1956,20,LOW GRADE (white back),2020-09-11,10,35.77
Al Kaline,1956,20,LOW GRADE (crease) (white back),2020-09-11,24,32
Al Kaline,1956,20,EX-EXMINT (white back),2020-09-05,27,114.5
Al Kaline,1956,20,EX-EXMINT,2020-09-02,26,105.03
Al Kaline,1956,20,LOW GRADE (crease) (pin hole) (white back),2020-08-28,11,9.03
Al Kaline,1956,20,VG-VGEX (white back),2020-08-16,20,77
Al Kaline,1956,20,VG-VGEX (wrinkle),2020-08-14,15,53.55
Al Kaline,1956,20,VG-VGEX (crease),2020-08-14,9,26.1
Al Kaline,1956,20,LOW GRADE (white back),2020-08-14,17,20.6
Al Kaline,1956,20,LOW GRADE (white back),2020-07-31,16,18.5
Al Kaline,1956,20,LOW GRADE (crease) (white back),2020-07-31,9,11.22
Jackie Robinson,1956,30,VG-VGEX (white back),2020-10-04,32,355
Jackie Robinson,1956,30,LOW GRADE (crease),2020-09-25,29,208.52
Jackie Robinson,1956,30,VG-VGEX (crease) (white back),2020-09-25,27,154.47
Jackie Robinson,1956,30,LOW GRADE (crease) (white back),2020-09-18,48,145.5
Jackie Robinson,1956,30,VG-VGEX,2020-09-16,33,347
Jackie Robinson,1956,30,EX-EXMINT (white back),2020-09-13,37,416
Jackie Robinson,1956,30,LOW GRADE (crease),2020-09-11,17,189.46
Hank Aaron,1956,31,VG-VGEX (white back),2020-10-06,21,190.38
Hank Aaron,1956,31,VG-VGEX,2020-10-04,22,163.56
Hank Aaron,1956,31,VG-VGEX (crease),2020-09-25,36,144.5
Hank Aaron,1956,31,LOW GRADE (filler),2020-09-25,20,70
Hank Aaron,1956,31,VG-VGEX (white back),2020-09-22,33,165.5
Hank Aaron,1956,31,VG-VGEX (wrinkle) (white back),2020-09-18,36,152.5
Hank Aaron,1956,31,VG-VGEX (white back),2020-09-16,24,152.5
Hank Aaron,1956,31,EX-EXMINT (white back),2020-09-13,25,297.76
Hank Aaron,1956,31,LOW GRADE (crease) (white back),2020-09-11,28,139.25
Hank Aaron,1956,31,LOW GRADE (crease) (white back),2020-08-28,25,43
Hank Aaron,1956,31,VG-VGEX (wrinkle) (marked),2020-07-31,32,93.1
Roberto Clemente,1956,33,EX-EXMINT (white back),2020-10-04,25,466.83
Roberto Clemente,1956,33,VG-VGEX (wrinkle) (white back),2020-10-02,17,201
Roberto Clemente,1956,33,EX-EXMINT (white back),2020-09-22,54,681.21
Roberto Clemente,1956,33,VG-VGEX (wrinkle),2020-09-18,37,286
Roberto Clemente,1956,33,VG-VGEX (white back),2020-09-13,37,330
Roberto Clemente,1956,33,LOW GRADE,2020-09-11,28,154.6
Roberto Clemente,1956,33,LOW GRADE (filler) (paper loss),2020-09-11,16,63
Roberto Clemente,1956,33,LOW GRADE (paper loss) (altered),2020-08-21,35,143.6
Roberto Clemente,1956,33,LOW GRADE (crease) (white back),2020-08-14,24,157.5
Roberto Clemente,1956,33,VG-VGEX (crease),2020-07-31,34,152.58
Sandy Koufax,1956,79,VG-VGEX (white back),2020-10-18,20,103.5
Sandy Koufax,1956,79,VG-VGEX,2020-10-06,22,168.5
Sandy Koufax,1956,79,VG-VGEX,2020-10-04,18,135.02
Sandy Koufax,1956,79,LOW GRADE (filler) (white back),2020-10-02,19,55
Sandy Koufax,1956,79,VG-VGEX (white back),2020-09-30,21,153.5
Sandy Koufax,1956,79,VG-VGEX (white back),2020-09-22,27,182.5
Sandy Koufax,1956,79,EX-EXMINT (white back),2020-09-16,13,218.55
Sandy Koufax,1956,79,EX-EXMINT (white back),2020-09-13,25,256
Sandy Koufax,1956,79,VG-VGEX (white back),2020-09-05,24,208.5
Sandy Koufax,1956,79,VG-VGEX,2020-08-19,36,138.5
Sandy Koufax,1956,79,LOW GRADE (white back),2020-08-14,44,143.5
Sandy Koufax,1956,79,EX-EXMINT,2020-08-09,33,355
Bob Feller,1956,200,VG-VGEX,2020-10-07,14,48
Bob Feller,1956,200,VG-VGEX,2020-10-06,13,36.53
Bob Feller,1956,200,VG-VGEX,2020-10-04,23,44.82
Bob Feller,1956,200,VG-VGEX (wrinkle),2020-10-02,16,32
Bob Feller,1956,200,EX-EXMINT,2020-09-30,24,56
Bob Feller,1956,200,VG-VGEX,2020-09-28,19,57.39
Bob Feller,1956,200,LOW GRADE (crease),2020-09-25,13,24.5
Bob Feller,1956,200,EX-EXMINT,2020-09-24,28,64
Bob Feller,1956,200,EX-EXMINT,2020-09-22,39,74.78
Bob Feller,1956,200,EX-EXMINT,2020-09-20,14,75
Bob Feller,1956,200,VG-VGEX (wrinkle),2020-09-18,15,37.1
Bob Feller,1956,200,EX-EXMINT,2020-09-16,14,93
Bob Feller,1956,200,EX-EXMINT,2020-09-13,29,96
Bob Feller,1956,200,VG-VGEX (wrinkle),2020-09-11,10,31
Bob Feller,1956,200,LOW GRADE (crease),2020-09-11,18,31
Bob Feller,1956,200,VG-VGEX,2020-09-02,25,43
Bob Feller,1956,200,VG-VGEX (wrinkle),2020-08-28,17,32
Bob Feller,1956,200,LOW GRADE (crease),2020-08-21,9,19.5
Bob Feller,1956,200,LOW GRADE (crease),2020-08-14,8,21.5
Bob Feller,1956,200,EX-EXMINT (altered),2020-08-14,16,40.1
Bob Feller,1956,200,LOW GRADE (crease),2020-07-31,13,22.5
Ted Williams,1957,1,LOW GRADE (crease),2020-10-23,24,64
Ted Williams,1957,1,LOW GRADE (filler),2020-10-23,13,41.5
Ted Williams,1957,1,LOW GRADE (crease),2020-10-16,25,72.77
Ted Williams,1957,1,LOW GRADE (crease),2020-10-16,14,32
Ted Williams,1957,1,LOW GRADE (filler),2020-10-09,36,156.5
Ted Williams,1957,1,LOW GRADE (crease),2020-09-25,23,68
Ted Williams,1957,1,VG-VGEX,2020-09-22,21,138.5
Ted Williams,1957,1,VG-VGEX,2020-09-20,24,194.5
Ted Williams,1957,1,VG-VGEX (crease),2020-09-18,20,127.51
Ted Williams,1957,1,LOW GRADE (crease),2020-09-18,8,47.07
Ted Williams,1957,1,LOW GRADE (crease),2020-09-11,16,71
Ted Williams,1957,1,LOW GRADE (crease),2020-09-11,15,50
Ted Williams,1957,1,VG-VGEX,2020-09-10,22,227.5
Ted Williams,1957,1,VG-VGEX,2020-09-09,21,123
Ted Williams,1957,1,VG-VGEX,2020-09-06,20,60
Ted Williams,1957,1,LOW GRADE,2020-08-28,15,51
Ted Williams,1957,1,EX-EXMINT (miscut),2020-08-14,25,280.51
Ted Williams,1957,1,EX-EXMINT,2020-08-12,31,246.5
Ted Williams,1957,1,EX-EXMINT,2020-08-09,34,145.5
Ted Williams,1957,1,LOW GRADE (crease),2020-07-31,22,47
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-10-23,28,92.11
Willie Mays,1957,10,LOW GRADE,2020-10-02,16,32.93
Willie Mays,1957,10,LOW GRADE (crease),2020-09-25,9,51
Willie Mays,1957,10,EX-EXMINT,2020-09-20,20,128
Willie Mays,1957,10,LOW GRADE (crease),2020-09-18,21,60
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-09-11,27,91
Willie Mays,1957,10,VG-VGEX,2020-09-10,21,144.5
Willie Mays,1957,10,VG-VGEX,2020-09-09,24,125.5
Willie Mays,1957,10,VG-VGEX,2020-09-06,29,178.5
Willie Mays,1957,10,LOW GRADE (filler),2020-08-28,14,24.74
Willie Mays,1957,10,LOW GRADE (crease),2020-08-21,20,42
Willie Mays,1957,10,LOW GRADE (crease),2020-08-14,20,45.45
Willie Mays,1957,10,LOW GRADE (crease),2020-08-14,33,90
Willie Mays,1957,10,EX-EXMINT,2020-08-09,28,204.74
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-08-07,19,46.1
Willie Mays,1957,10,LOW GRADE (filler) (paper loss),2020-07-31,12,30.99
Hank Aaron,1957,20,VG-VGEX,2020-10-06,32,140.5
Hank Aaron,1957,20,EX-EXMINT,2020-09-20,40,241.5
Hank Aaron,1957,20,VG-VGEX,2020-09-13,33,130.09
Hank Aaron,1957,20,VG-VGEX (wrinkle),2020-09-11,20,130
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,17,72
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,22,67
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,18,41.1
Hank Aaron,1957,20,VG-VGEX,2020-09-10,27,178.5
Hank Aaron,1957,20,VG-VGEX,2020-09-09,15,67.11
Hank Aaron,1957,20,VG-VGEX,2020-09-06,40,152.5
Hank Aaron,1957,20,LOW GRADE (filler),2020-08-28,13,23.5
Hank Aaron,1957,20,LOW GRADE (crease),2020-08-28,21,78.77
