name,year,number,condition,date,bids,price
Warren Spahn,1952,33,LOW GRADE (black back),2020-12-04,22,47
Warren Spahn,1952,33,LOW GRADE,2020-11-27,15,63
Warren Spahn,1952,33,VG-VGEX (black back),2020-11-22,39,117.5
Warren Spahn,1952,33,LOW GRADE (black),2020-11-20,12,58.55
Warren Spahn,1952,33,LOW GRADE (filler),2020-11-13,18,32
Warren Spahn,1952,33,LOW GRADE (crease) (black back),2020-10-30,19,57
Bob Feller,1952,88,VG-VGEX,2021-01-04,58,213.33
Bob Feller,1952,88,VG-VGEX,2020-12-20,15,47
Bob Feller,1952,88,LOW GRADE,2020-12-04,20,43
Bob Feller,1952,88,LOW GRADE (filler),2020-11-27,19,31
Bob Feller,1952,88,LOW GRADE (crease),2020-11-27,20,62.1
Bob Feller,1952,88,LOW GRADE (crease),2020-11-20,14,45.66
Bob Feller,1952,88,LOW GRADE (filler),2020-11-13,25,32.1
Jackie Robinson,1953,1,LOW GRADE (filler),2021-01-02,32,305
Jackie Robinson,1953,1,LOW GRADE (filler),2020-12-18,38,184.24
Jackie Robinson,1953,1,VG-VGEX (wrinkle),2020-12-11,48,535.05
Jackie Robinson,1953,1,LOW GRADE (crease),2020-11-20,30,375
Bob Feller,1953,54,EX-EXMINT,2021-01-04,28,143.5
Bob Feller,1953,54,VG-VGEX (crease),2020-12-18,17,51
Bob Feller,1953,54,EX-EXMINT,2020-12-08,47,136
Bob Feller,1953,54,VG-VGEX,2020-11-29,18,59.99
Bob Feller,1953,54,VG-VGEX (wrinkle),2020-11-06,23,68.88
Bob Feller,1953,54,LOW GRADE (crease),2020-10-23,20,36
Mickey Mantle,1953,82,LOW GRADE (filler),2020-11-20,61,985
Warren Spahn,1953,147,NR-MINT,2021-01-04,37,302.51
Warren Spahn,1953,147,LOW GRADE (crease),2020-12-18,12,39.88
Warren Spahn,1953,147,VG-VGEX (wrinkle),2020-11-27,15,46
Warren Spahn,1953,147,VG-VGEX,2020-11-19,21,50.01
Warren Spahn,1953,147,LOW GRADE (crease),2020-10-23,13,38.8
Ted Williams,1954,1,LOW GRADE (crease),2020-12-18,30,87
Ted Williams,1954,1,VG-VGEX,2020-12-13,20,173.65
Ted Williams,1954,1,VG-VGEX (crease),2020-12-11,24,270
Ted Williams,1954,1,EX-EXMINT,2020-12-08,32,540
Ted Williams,1954,1,LOW GRADE (filler),2020-12-04,19,54
Ted Williams,1954,1,VG-VGEX (crease),2020-11-27,15,143.6
Ted Williams,1954,1,LOW GRADE,2020-11-27,18,113.6
Ted Williams,1954,1,LOW GRADE (crease),2020-11-20,26,57
Ted Williams,1954,1,LOW GRADE (filler),2020-11-13,15,64
Ted Williams,1954,1,LOW GRADE (crease),2020-11-06,22,73
Ted Williams,1954,1,LOW GRADE (filler),2020-10-16,20,55.55
Ted Williams,1954,1,LOW GRADE (crease),2020-10-16,22,78
Ted Williams,1954,1,LOW GRADE (crease),2020-10-09,19,81.11
Jackie Robinson,1954,10,LOW GRADE (filler),2020-12-25,31,152.5
Jackie Robinson,1954,10,LOW GRADE (crease),2020-12-18,28,189.36
Jackie Robinson,1954,10,LOW GRADE (filler),2020-12-04,17,102.5
Jackie Robinson,1954,10,EX-EXMINT,2020-11-29,28,545.13
Jackie Robinson,1954,10,LOW GRADE (crease),2020-11-27,29,173.5
Jackie Robinson,1954,10,VG-VGEX (wrinkle),2020-11-20,50,228.5
Jackie Robinson,1954,10,VG-VGEX,2020-10-18,45,320
Warren Spahn,1954,20,LOW GRADE (crease),2020-12-18,12,16.5
Warren Spahn,1954,20,LOW GRADE (filler),2020-12-18,6,9.05
Warren Spahn,1954,20,EX-EXMINT,2020-12-08,22,47.5
Warren Spahn,1954,20,VG-VGEX (crease),2020-12-04,14,26.55
Warren Spahn,1954,20,VG-VGEX,2020-12-03,20,46.55
Warren Spahn,1954,20,VG-VGEX,2020-11-29,10,31.02
Willie Mays,1954,90,LOW GRADE (crease),2020-12-25,21,156.5
Willie Mays,1954,90,LOW GRADE (crease),2020-12-18,22,161.5
Willie Mays,1954,90,VG-VGEX (wrinkle),2020-12-11,30,176.16
Willie Mays,1954,90,VG-VGEX,2020-11-29,23,214.05
Willie Mays,1954,90,LOW GRADE (crease),2020-11-20,30,84
Willie Mays,1954,90,LOW GRADE (crease),2020-11-06,36,144.5
Willie Mays,1954,90,LOW GRADE (crease),2020-10-09,31,108.5
Ernie Banks,1954,94,VG-VGEX,2020-12-16,26,716
Al Kaline,1954,201,LOW GRADE (crease),2020-12-18,27,155.79
Al Kaline,1954,201,LOW GRADE (filler),2020-12-04,36,232.5
Al Kaline,1954,201,VG-VGEX (crease),2020-11-27,40,335
Ted Williams,1955,2,VG-VGEX,2021-01-04,20,246.3
Ted Williams,1955,2,LOW GRADE (crease),2021-01-02,22,107.5
Ted Williams,1955,2,LOW GRADE,2021-01-02,35,139.49
Ted Williams,1955,2,LOW GRADE (crease),2020-12-25,29,135.3
Ted Williams,1955,2,LOW GRADE (crease),2020-12-25,16,71.82
Ted Williams,1955,2,VG-VGEX (crease),2020-12-18,20,127.5
Ted Williams,1955,2,LOW GRADE (filler),2020-12-11,17,51.77
Ted Williams,1955,2,VG-VGEX (crease),2020-12-04,34,198.55
Ted Williams,1955,2,LOW GRADE,2020-11-27,23,152.5
Ted Williams,1955,2,LOW GRADE (filler),2020-11-20,11,71
Ted Williams,1955,2,LOW GRADE (filler),2020-11-06,31,86
Al Kaline,1955,4,LOW GRADE (crease),2021-01-02,14,20.5
Al Kaline,1955,4,LOW GRADE (crease),2021-01-02,24,36
Al Kaline,1955,4,VG-VGEX (wrinkle),2020-12-25,17,62
Al Kaline,1955,4,LOW GRADE (crease),2020-12-18,12,32
Al Kaline,1955,4,LOW GRADE (crease),2020-12-18,8,26.02
Al Kaline,1955,4,VG-VGEX,2020-12-08,25,42.01
Al Kaline,1955,4,LOW GRADE,2020-12-04,15,35
Al Kaline,1955,4,VG-VGEX,2020-12-03,19,113.61
Al Kaline,1955,4,EX-EXMINT,2020-11-29,26,155.5
Al Kaline,1955,4,VG-VGEX (crease),2020-11-27,18,33
Al Kaline,1955,4,LOW GRADE,2020-11-27,25,41
Al Kaline,1955,4,VG-VGEX,2020-11-22,16,113.5
Al Kaline,1955,4,LOW GRADE (crease),2020-11-20,16,28
Al Kaline,1955,4,EX-EXMINT,2020-11-09,33,360.99
Al Kaline,1955,4,VG-VGEX,2020-11-08,12,81
Al Kaline,1955,4,VG-VGEX,2020-11-01,21,161.5
Ernie Banks,1955,28,VG-VGEX,2021-01-04,9,107.83
Ernie Banks,1955,28,VG-VGEX (crease) (marked),2020-12-18,14,36.99
Ernie Banks,1955,28,EX-EXMINT,2020-12-08,23,136.5
Ernie Banks,1955,28,EX-EXMINT,2020-11-29,27,143
Ernie Banks,1955,28,LOW GRADE (crease),2020-11-06,16,50.98
Ernie Banks,1955,28,LOW GRADE (crease),2020-11-06,16,56
Ernie Banks,1955,28,LOW GRADE,2020-11-06,22,29.27
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-16,26,61
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-09,18,69
Warren Spahn,1955,31,VG-VGEX,2020-12-20,21,36.56
Warren Spahn,1955,31,VG-VGEX,2020-12-16,16,32.11
Warren Spahn,1955,31,VG-VGEX,2020-12-13,23,124.5
Warren Spahn,1955,31,EX-EXMINT,2020-12-08,18,76
Warren Spahn,1955,31,LOW GRADE (crease),2020-12-04,12,11.5
Warren Spahn,1955,31,LOW GRADE,2020-12-04,14,19.56
Warren Spahn,1955,31,VG-VGEX,2020-12-03,16,34
Warren Spahn,1955,31,EX-EXMINT,2020-11-29,22,91
Warren Spahn,1955,31,LOW GRADE (crease),2020-11-27,9,16.55
Warren Spahn,1955,31,LOW GRADE (filler),2020-11-20,13,12.6
Warren Spahn,1955,31,VG-VGEX,2020-11-19,11,31
Warren Spahn,1955,31,LOW GRADE (crease),2020-11-13,7,13.5
Warren Spahn,1955,31,VG-VGEX,2020-11-01,11,22.5
Warren Spahn,1955,31,LOW GRADE (crease),2020-10-30,9,16.5
Warren Spahn,1955,31,VG-VGEX (wrinkle),2020-10-16,9,18.68
