title,date,bids,price
1952 Topps Set Break # 33 Warren Spahn VG-VGEX (crease) (black back) *GMCARDS*,2020-04-02,19,76
1952 Topps Set Break # 33 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-03-19,24,92.91
1952 Topps Set Break # 33 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-03-12,19,145.95
1952 Topps Set Break # 33 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-03-05,24,61
1952 Topps Set Break # 33 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-02-27,21,53
1952 Topps Set Break # 33 Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-02-13,22,49
1952 Topps # 33 - Warren Spahn LOW GRADE (crease) (black back) *GMCARDS*,2020-02-13,19,55.88
1952 Topps Set Break # 33 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-02-06,14,123.5
1952 Topps Set Break # 33 Warren Spahn LOW GRADE (crease) (black back) *GMCARDS*,2020-01-30,15,69.55
1952 Topps Set Break # 33 Warren Spahn VG-VGEX *GMCARDS*,2020-01-25,47,220
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-04-11,8,15.26
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-04-10,15,16.5
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-04-09,5,5
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-04-09,6,7.6
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-04-08,6,11.54
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-04-04,9,20.5
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-04-02,6,6.06
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-03-30,6,10.07
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-03-26,4,3.33
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-03-25,9,10.51
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-03-20,17,41.05
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-03-19,2,3.25
1967 Topps Set Break #100 Frank Robinson NR-MINT *GMCARDS*,2020-03-17,23,89
1967 Topps Set Break #100 Frank Robinson NM-MT OR BETTER *GMCARDS*,2020-03-13,21,120.5
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-03-12,7,2.25
1967 Topps Set Break #100 Frank Robinson NR-MINT *GMCARDS*,2020-03-09,22,66
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-03-05,10,8.5
1967 Topps Set Break #100 Frank Robinson NR-MINT *GMCARDS*,2020-03-04,17,61
1967 Topps Set Break #100 Frank Robinson NR-MINT *GMCARDS*,2020-03-01,29,66.26
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-02-27,6,5.68
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-02-25,15,16.5
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-02-23,8,12.15
1967 Topps Set Break #100 Frank Robinson LOW GRADE (crease) *GMCARDS*,2020-02-20,18,12.5
1967 Topps Set Break #100 Frank Robinson LOW GRADE *GMCARDS*,2020-02-20,6,3
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-02-16,10,19.26
1967 Topps Set Break #100 Frank Robinson LOW GRADE *GMCARDS*,2020-02-13,5,2.75
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-02-09,11,22.28
1967 Topps Set Break #100 Frank Robinson NR-MINT *GMCARDS*,2020-02-03,21,157.5
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,9,14.27
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,7,7.5
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,10,8.28
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,8,5.71
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,5,7.72
1967 Topps Set Break #100 Frank Robinson VG-VGEX *GMCARDS*,2020-01-31,6,10
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-01-28,13,22.72
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-01-22,19,47
1967 Topps Set Break #100 Frank Robinson EX-EXMINT *GMCARDS*,2020-01-20,13,32.99
1967 Topps Set Break #100 Frank Robinson NM-MT OR BETTER *GMCARDS*,2020-01-14,22,202.5
1970 Topps Set Break #600 Willie Mays EX-EXMINT *GMCARDS*,2020-04-03,11,53
1970 Topps Set Break #600 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-04-02,15,43.99
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-03-26,18,30
1970 Topps Set Break #600 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-03-26,21,19.4
1970 Topps Set Break #600 Willie Mays NR-MINT *GMCARDS*,2020-03-25,21,187.5
1970 Topps Set Break #600 Willie Mays LOW GRADE (filler) *GMCARDS*,2020-03-19,16,64
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-03-12,22,39
1970 Topps Set Break #600 Willie Mays LOW GRADE *GMCARDS*,2020-03-12,10,24.5
1970 Topps Set Break #600 Willie Mays NR-MINT *GMCARDS*,2020-03-09,21,312
1970 Topps Set Break #600 Willie Mays VG-VGEX (wrinkle) *GMCARDS*,2020-03-05,15,27.76
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-03-04,15,48
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-03-01,16,33
1970 Topps Set Break #600 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-02-27,4,6.06
1970 Topps Set Break #600 Willie Mays EX-EXMINT *GMCARDS*,2020-02-16,14,63
1970 Topps Set Break #600 Willie Mays VG-VGEX (wrinkle) *GMCARDS*,2020-02-13,13,31
1970 Topps Set Break #600 Willie Mays LOW GRADE *GMCARDS*,2020-02-13,13,12.71
1970 Topps Set Break #600 Willie Mays EX-EXMINT *GMCARDS*,2020-02-10,22,110.5
1970 Topps Set Break #600 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-02-06,10,19.5
1970 Topps Set Break #600 Willie Mays NR-MINT *GMCARDS*,2020-02-05,30,294.89
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-01-30,17,38
