name,year,number,price,own,lot_name,remaining_price,type
Willie Mays,1968,50,16.25,0,,16.25,first_ballot
Carl Yastrzemski,1962,425,20,0,,20,first_ballot
Hank Aaron,1969,100,20.28,0,,20.28,first_ballot
Warren Spahn,1959,40,24.5,0,,24.5,first_ballot
Frank Robinson,1962,350,25.7,0,,25.7,first_ballot
Lou Brock,1965,540,27.82,0,,27.82,first_ballot
Ernie Banks,1965,510,30,0,,30,first_ballot
Al Kaline,1970,640,31,0,,31,first_ballot
Sandy Koufax,1965,300,33,0,,33,first_ballot
Stan Musial,1963,250,34,0,,34,first_ballot
Roberto Clemente,1967,400,34.1,0,,34.1,first_ballot
Bob Gibson,1962,530,35,0,,35,first_ballot
Willie Mays,1971,600,35,0,,35,first_ballot
Stan Musial,1961,290,37,0,,37,first_ballot
Willie Stargell,1963,553,40,0,,40,first_ballot
Hank Aaron,1964,300,40,0,,40,first_ballot
Hank Aaron,1966,500,41,0,,41,first_ballot
Sandy Koufax,1959,163,42.12,0,,42.12,first_ballot
Roberto Clemente,1964,440,43,0,,43,first_ballot
Steve Carlton,1965,477,44,0,,44,first_ballot
Sandy Koufax,1962,5,45,0,,45,first_ballot
Lou Brock,1962,387,45,0,,45,first_ballot
Al Kaline,1956,20,46.13,0,,46.13,first_ballot
Willie Mays,1970,600,47,0,,47,first_ballot
Johnny Bench,1970,660,49,0,,49,first_ballot
Hank Aaron,1967,250,50,0,,50,first_ballot
Roberto Clemente,1971,630,50,0,,50,first_ballot
Al Kaline,1957,125,54,0,,54,first_ballot
Willie Mays,1964,150,59.5,0,,59.5,first_ballot
Bob Feller,1953,54,60,0,,60,first_ballot
Sandy Koufax,1960,343,60,0,,60,first_ballot
Willie Mays,1961,150,62,0,,62,first_ballot
Roberto Clemente,1966,300,62,0,,62,first_ballot
Willie McCovey,1962,544,62.75,0,,62.75,first_ballot
Reggie Jackson,1969,260,63.49,0,,63.49,first_ballot
Bob Feller,1956,200,67,0,,67,first_ballot
Mickey Mantle,1968,280,74.99,0,,74.99,first_ballot
Willie Mays,1965,250,79.99,0,,79.99,first_ballot
Carl Yastrzemski,1961,287,80,0,,80,first_ballot
Hank Aaron,1965,170,81,0,,81,first_ballot
Sandy Koufax,1957,302,85,0,,85,first_ballot
Bob Feller,1952,88,89,0,,89,first_ballot
Ernie Banks,1955,28,89.99,0,,89.99,first_ballot
Hank Aaron,1961,415,90,0,,90,first_ballot
Willie Mays,1960,200,90.96,0,,90.96,first_ballot
Warren Spahn,1953,147,100,0,,100,first_ballot
Willie Mays,1956,130b,100,0,,100,first_ballot
Ted Williams,1957,1,100,0,,100,first_ballot
Mickey Mantle,1969,500,100,0,,100,first_ballot
Hank Aaron,1960,300,103,0,,103,first_ballot
Warren Spahn,1952,33,112.5,0,,112.5,first_ballot
Roberto Clemente,1958,52,119.95,0,,119.95,first_ballot
Willie Mays,1959,50,120,0,,120,first_ballot
Nolan Ryan,1970,712,127.5,0,,127.5,first_ballot
Brooks Robinson,1957,328,130,0,,130,first_ballot
Willie McCovey,1966,550,134.5,0,,134.5,first_ballot
Willie Mays,1962,300,135,0,,135,first_ballot
Roberto Clemente,1957,76,144.5,0,,144.5,first_ballot
Mickey Mantle,1966,50,145,0,,145,first_ballot
Hank Aaron,1959,380,147.5,0,,147.5,first_ballot
Jackie Robinson,1956,30,150,0,,150,first_ballot
Frank Robinson,1957,35,161.5,0,,161.5,first_ballot
Willie Mays,1957,10,177.5,0,,177.5,first_ballot
Mickey Mantle,1967,150,190,0,,190,first_ballot
Nolan Ryan,1969,533,200,0,,200,first_ballot
Ted Williams,1955,2,212,0,,212,first_ballot
Mickey Mantle,1962,200,215,0,,215,first_ballot
Ted Williams,1954,1,220.5,0,,220.5,first_ballot
Hank Aaron,1955,47,229.5,0,,229.5,first_ballot
Jackie Robinson,1954,10,246,0,,246,first_ballot
Rod Carew,1967,569,249.99,0,,249.99,first_ballot
Jackie Robinson,1955,50,250,0,,250,first_ballot
Mickey Mantle,1961,300,251.25,0,,251.25,first_ballot
Mickey Mantle,1965,350,282.29,0,,282.29,first_ballot
Willie Mays,1954,90,294.99,0,,294.99,first_ballot
Mickey Mantle,1964,50,299,0,,299,first_ballot
Nolan Ryan,1968,177,300,0,,300,first_ballot
Roberto Clemente,1956,33,314,0,,314,first_ballot
Mickey Mantle,1958,150,315,0,,315,first_ballot
Willie Mays,1955,194,318.5,0,,318.5,first_ballot
Mickey Mantle,1959,10,334.99,0,,334.99,first_ballot
Mickey Mantle,1963,200,335.15,0,,335.15,first_ballot
Mickey Mantle,1960,350,350,0,,350,first_ballot
Ted Williams,1956,5,400,0,,400,first_ballot
Bob Gibson,1959,514,400,0,,400,first_ballot
Al Kaline,1954,201,467,0,,467,first_ballot
Sandy Koufax,1955,123,480,0,,480,first_ballot
Hank Aaron,1954,128,526,0,,526,first_ballot
Tom Seaver,1967,581,600,0,,600,first_ballot
Mickey Mantle,1956,135b,620,0,,620,first_ballot
Mickey Mantle,1957,95,836,0,,836,first_ballot
Jackie Robinson,1953,1,850,0,,850,first_ballot
Ernie Banks,1954,94,886,0,,886,first_ballot
Willie Mays,1953,244,1000,0,,1000,first_ballot
Roberto Clemente,1955,164,1500,0,,1500,first_ballot
Willie Mays,1952,261,2000,0,,2000,first_ballot
Jackie Robinson,1952,312,2000,0,,2000,first_ballot
Mickey Mantle,1953,82,2000,0,,2000,first_ballot
Mickey Mantle,1952,311,4000,0,,4000,first_ballot
