name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Phil Rizzuto,1952,11,46,,,46,/ViewCard.cfm/sid/26/cid/6574952/1952-Topps-11-Phil-Rizzuto,/Images/Cards/Baseball/26/26-9780334Fr.jpg,/Images/Cards/Baseball/26/26-9780334Bk.jpg
Enos Slaughter,1952,65,47,,,47,/ViewCard.cfm/sid/26/cid/6575006/1952-Topps-65-Enos-Slaughter,/Images/Cards/Baseball/26/26-9780388Fr.jpg,/Images/Cards/Baseball/26/26-9780388Bk.jpg
Red Schoendienst,1952,91,65,,,65,/ViewCard.cfm/sid/26/cid/2286/1952-Topps-91-Red-Schoendienst,/Images/Cards/Baseball/26/26-91Fr.jpg,/Images/Cards/Baseball/26/26-91Bk.jpg
Johnny Mize,1952,129,80,,,80,/ViewCard.cfm/sid/26/cid/2324/1952-Topps-129-Johnny-Mize,/Images/Cards/Baseball/26/26-129Fr.jpg,/Images/Cards/Baseball/26/26-129Bk.jpg
Richie Ashburn,1952,216,167,,,167,/ViewCard.cfm/sid/26/cid/2411/1952-Topps-216-Richie-Ashburn,/Images/Cards/Baseball/26/26-216Fr.jpg,/Images/Cards/Baseball/26/26-216Bk.jpg
Larry Doby,1952,243,62,,,62,/ViewCard.cfm/sid/26/cid/2438/1952-Topps-243-Larry-Doby,/Images/Cards/Baseball/26/26-243Fr.jpg,/Images/Cards/Baseball/26/26-243Bk.jpg
George Kell,1952,246,58,,,58,/ViewCard.cfm/sid/26/cid/2441/1952-Topps-246-George-Kell,/Images/Cards/Baseball/26/26-246Fr.jpg,/Images/Cards/Baseball/26/26-246Bk.jpg
Pee Wee Reese,1952,333,250,,,250,/ViewCard.cfm/sid/26/cid/2528/1952-Topps-333-Pee-Wee-Reese,/Images/Cards/Baseball/26/26-333Fr.jpg,/Images/Cards/Baseball/26/26-333Bk.jpg
Enos Slaughter,1953,41,18,,,18,/ViewCard.cfm/sid/29/cid/5958/1953-Topps-41-Enos-Slaughter,/Images/Cards/Baseball/29/29-41Fr.jpg,/Images/Cards/Baseball/29/29-41Bk.jpg
Pee Wee Reese,1953,76,65,,,65,/ViewCard.cfm/sid/29/cid/5993/1953-Topps-76-Pee-Wee-Reese,/Images/Cards/Baseball/29/29-76Fr.jpg,/Images/Cards/Baseball/29/29-76Bk.jpg
Johnny Mize,1953,77,40,,,40,/ViewCard.cfm/sid/29/cid/5994/1953-Topps-77-Johnny-Mize,/Images/Cards/Baseball/29/29-77Fr.jpg,/Images/Cards/Baseball/29/29-77Bk.jpg
Red Schoendienst,1953,78,45,,,45,/ViewCard.cfm/sid/29/cid/5995/1953-Topps-78-Red-Schoendienst,/Images/Cards/Baseball/29/29-78Fr.jpg,/Images/Cards/Baseball/29/29-78Bk.jpg
Phil Rizzuto,1953,114,94.5,,,94.5,/ViewCard.cfm/sid/29/cid/6031/1953-Topps-114-Phil-Rizzuto,/Images/Cards/Baseball/29/29-114Fr.jpg,/Images/Cards/Baseball/29/29-114Bk.jpg
George Kell,1953,138,40,,,40,/ViewCard.cfm/sid/29/cid/6055/1953-Topps-138-George-Kell,/Images/Cards/Baseball/29/29-138Fr.jpg,/Images/Cards/Baseball/29/29-138Bk.jpg
Hal Newhouser,1953,228,116,,,116,/ViewCard.cfm/sid/29/cid/6145/1953-Topps-228-Hal-Newhouser,/Images/Cards/Baseball/29/29-228Fr.jpg,/Images/Cards/Baseball/29/29-228Bk.jpg
Phil Rizzuto,1954,17,61,,,61,/ViewCard.cfm/sid/33/cid/6208/1954-Topps-17-Phil-Rizzuto,/Images/Cards/Baseball/33/33-17Fr.jpg,/Images/Cards/Baseball/33/33-17Bk.jpg
Richie Ashburn,1954,45,46,,,46,/ViewCard.cfm/sid/33/cid/6236/1954-Topps-45-Richie-Ashburn,/Images/Cards/Baseball/33/33-45Fr.jpg,/Images/Cards/Baseball/33/33-45Bk.jpg
Larry Doby,1954,70,22,,,22,/ViewCard.cfm/sid/33/cid/6261/1954-Topps-70-Larry-Doby,/Images/Cards/Baseball/33/33-70Fr.jpg,/Images/Cards/Baseball/33/33-70Bk.jpg
Hal Newhouser,1955,24,6,,,6,/ViewCard.cfm/sid/36/cid/6465/1955-Topps-24-Hal-Newhouser,/Images/Cards/Baseball/36/36-24Fr.jpg,/Images/Cards/Baseball/36/36-24Bk.jpg
Phil Rizzuto,1955,189,103,,,103,/ViewCard.cfm/sid/36/cid/6628/1955-Topps-189-Phil-Rizzuto,/Images/Cards/Baseball/36/36-189Fr.jpg,/Images/Cards/Baseball/36/36-189Bk.jpg
Enos Slaughter,1956,109,15,,,15,/ViewCard.cfm/sid/37/cid/8826102/1956-Topps-109-Enos-Slaughter,/Images/Cards/Baseball/37/37-8826102Fr.jpg,/Images/Cards/Baseball/37/37-8826102Bk.jpg
George Kell,1956,195,13.25,,,13.25,/ViewCard.cfm/sid/37/cid/6854/1956-Topps-195-George-Kell,/Images/Cards/Baseball/37/37-195Fr.jpg,/Images/Cards/Baseball/37/37-195Bk.jpg
Larry Doby,1956,250,14.5,,,14.5,/ViewCard.cfm/sid/37/cid/6909/1956-Topps-250-Larry-Doby,/Images/Cards/Baseball/37/37-250Fr.jpg,/Images/Cards/Baseball/37/37-250Bk.jpg
Pee Wee Reese,1956,260,81,,,81,/ViewCard.cfm/sid/37/cid/6919/1956-Topps-260-,/Images/Cards/Baseball/37/37-260Fr.jpg,/Images/Cards/Baseball/37/37-260Bk.jpg
