name,year,number,url,price,front_url,back_url
Mariano Rivera,1997,256,/ViewCard.cfm/sid/1048/cid/164131/1997-Topps-256-Mariano-Rivera,0.35,/Images/Cards/Baseball/1048/1048-256Fr.jpg,/Images/Cards/Baseball/1048/1048-256Bk.jpg
Mariano Rivera,1998,8,/ViewCard.cfm/sid/1238/cid/178267/1998-Topps-8-Mariano-Rivera,0.35,/Images/Cards/Baseball/1238/1238-8Fr.jpg,/Images/Cards/Baseball/1238/1238-8Bk.jpg
Mariano Rivera,1999,172,/ViewCard.cfm/sid/1340/cid/234905/1999-Topps-172-Mariano-Rivera,0.38,/Images/Cards/Baseball/1340/1340-172Fr.jpg,/Images/Cards/Baseball/1340/1340-234905RepBk.jpg
Mariano Rivera,2000,331,/ViewCard.cfm/sid/1411/cid/251724/2000-Topps-331-Mariano-Rivera,0.75,/Images/Cards/Baseball/1411/1411-251724RepFr.jpg,/Images/Cards/Baseball/1411/1411-251724RepBk.jpg
Mariano Rivera,2001,560,/ViewCard.cfm/sid/1486/cid/280174/2001-Topps-560-Mariano-Rivera,0.4,/Images/Cards/Baseball/1486/1486-560Fr.jpg,/Images/Cards/Baseball/1486/1486-560Bk.jpg
Mariano Rivera,2002,270,/ViewCard.cfm/sid/1562/cid/303359/2002-Topps-270-Mariano-Rivera,0.4,/Images/Cards/Baseball/1562/1562-270Fr.jpg,/Images/Cards/Baseball/1562/1562-270Bk.jpg
Mariano Rivera,2003,548,/ViewCard.cfm/sid/1642/cid/32897/2003-Topps-548-Mariano-Rivera,0.48,/Images/Cards/Baseball/1642/1642-548Fr.jpg,/Images/Cards/Baseball/1642/1642-548Bk.jpg
Mariano Rivera,2004,67,/ViewCard.cfm/sid/1727/cid/210416/2004-Topps-67-Mariano-Rivera,0.45,/Images/Cards/Baseball/1727/1727-67Fr.jpg,/Images/Cards/Baseball/1727/1727-67Bk.jpg
Mariano Rivera,2005,118,/ViewCard.cfm/sid/1824/cid/211242/2005-Topps-118-Mariano-Rivera,0.54,/Images/Cards/Baseball/1824/1824-211242RepFr.jpg,/Images/Cards/Baseball/1824/1824-211242RepBk.jpg
Mariano Rivera,2006,110,/ViewCard.cfm/sid/1930/cid/207240/2006-Topps-110-Mariano-Rivera,0.81,/Images/Cards/Baseball/1930/1930-110Fr.jpg,/Images/Cards/Baseball/1930/1930-110Bk.jpg
Mariano Rivera,2007,570,/ViewCard.cfm/sid/1977/cid/193889/2007-Topps-570-Mariano-Rivera,0.43,/Images/Cards/Baseball/1977/1977-193889RepFr.jpg,/Images/Cards/Baseball/1977/1977-193889RepBk.jpg
Mariano Rivera,2008,590,/ViewCard.cfm/sid/6625/cid/57441/2008-Topps-590-Mariano-Rivera,1,/Images/Cards/Baseball/6625/6625-57441RepFr.jpg,/Images/Cards/Baseball/6625/6625-57441RepBk.jpg
Mariano Rivera,2009,60,/ViewCard.cfm/sid/9074/cid/259313/2009-Topps-60-Mariano-Rivera,1,/Images/Cards/Baseball/9074/9074-60aFr.jpg,/Images/Cards/Baseball/9074/9074-60aBk.jpg
Mariano Rivera,2010,404,/ViewCard.cfm/sid/9821/cid/417487/2010-Topps-404-Mariano-Rivera,0.3,/Images/Cards/Baseball/9821/9821-404Fr.jpg,/Images/Cards/Baseball/9821/9821-404Bk.jpg
Mariano Rivera,2011,42,/ViewCard.cfm/sid/48224/cid/534472/2011-Topps-42-Mariano-Rivera,1,/Images/Cards/Baseball/48224/48224-42Fr.jpg,/Images/Cards/Baseball/48224/48224-42Bk.jpg
Mariano Rivera,2012,180,/ViewCard.cfm/sid/61443/cid/3675946/2012-Topps-180-Mariano-Rivera,1,/Images/Cards/Baseball/61443/61443-180Fr.jpg,/Images/Cards/Baseball/61443/61443-180Bk.jpg
