name,year,number,url,price,front_url,back_url
Vladimir Guerrero,1996,435,/ViewCard.cfm/sid/803/cid/148335/1996-Topps-435-Brian-Banks-/-Vladimir-Guerrero-/-Andruw-Jones-/-Billy-McMillon,5.75,/Images/Cards/Baseball/803/803-148335RepFr.jpg,/Images/Cards/Baseball/803/803-148335RepBk.jpg
Vladimir Guerrero,1997,433,/ViewCard.cfm/sid/1048/cid/164308/1997-Topps-433-Vladimir-Guerrero,0.4,/Images/Cards/Baseball/1048/1048-433Fr.jpg,/Images/Cards/Baseball/1048/1048-433Bk.jpg
Vladimir Guerrero,1998,5,/ViewCard.cfm/sid/1238/cid/178265/1998-Topps-5-Vladimir-Guerrero,0.3,/Images/Cards/Baseball/1238/1238-5Fr.jpg,/Images/Cards/Baseball/1238/1238-5Bk.jpg
Vladimir Guerrero,1999,62,/ViewCard.cfm/sid/1340/cid/234795/1999-Topps-62-Vladimir-Guerrero,0.37,/Images/Cards/Baseball/1340/1340-62Fr.jpg,/Images/Cards/Baseball/1340/1340-62Bk.jpg
Vladimir Guerrero,2000,181,/ViewCard.cfm/sid/1411/cid/251554/2000-Topps-181-Vladimir-Guerrero,0.3,/Images/Cards/Baseball/1411/1411-181Fr.jpg,/Images/Cards/Baseball/1411/1411-181Bk.jpg
Vladimir Guerrero,2001,300,/ViewCard.cfm/sid/1486/cid/279914/2001-Topps-300-Vladimir-Guerrero,0.4,/Images/Cards/Baseball/1486/1486-279914RepFr.jpg,/Images/Cards/Baseball/1486/1486-279914RepBk.jpg
Vladimir Guerrero,2002,100,/ViewCard.cfm/sid/1562/cid/303188/2002-Topps-100-Vladimir-Guerrero,0.35,/Images/Cards/Baseball/1562/1562-100Fr.jpg,/Images/Cards/Baseball/1562/1562-100Bk.jpg
Vladimir Guerrero,2003,170,/ViewCard.cfm/sid/1642/cid/32519/2003-Topps-170-Vladimir-Guerrero,0.3,/Images/Cards/Baseball/1642/1642-170Fr.jpg,/Images/Cards/Baseball/1642/1642-170Bk.jpg
Vladimir Guerrero,2004,380,/ViewCard.cfm/sid/1727/cid/210729/2004-Topps-380-Vladimir-Guerrero,0.45,/Images/Cards/Baseball/1727/1727-380Fr.jpg,/Images/Cards/Baseball/1727/1727-380Bk.jpg
Vladimir Guerrero,2005,150,/ViewCard.cfm/sid/1824/cid/211274/2005-Topps-150-Vladimir-Guerrero,0.42,/Images/Cards/Baseball/1824/1824-211274RepFr.jpg,/Images/Cards/Baseball/1824/1824-211274RepBk.jpg
Vladimir Guerrero,2006,400,/ViewCard.cfm/sid/1930/cid/207535/2006-Topps-400-Vladimir-Guerrero,0.42,/Images/Cards/Baseball/1930/1930-207535RepFr.jpg,/Images/Cards/Baseball/1930/1930-207535RepBk.jpg
Vladimir Guerrero,2007,300,/ViewCard.cfm/sid/1977/cid/193616/2007-Topps-300-Vladimir-Guerrero,0.42,/Images/Cards/Baseball/1977/1977-300Fr.jpg,/Images/Cards/Baseball/1977/1977-300Bk.jpg
Vladimir Guerrero,2008,90,/ViewCard.cfm/sid/6625/cid/56940/2008-Topps-90-Vladimir-Guerrero,0.5,/Images/Cards/Baseball/6625/6625-56940RepFr.jpg,/Images/Cards/Baseball/6625/6625-56940RepBk.jpg
Vladimir Guerrero,2009,130,/ViewCard.cfm/sid/9074/cid/259386/2009-Topps-130-Vladimir-Guerrero,0.5,/Images/Cards/Baseball/9074/9074-259386RepFr.jpg,/Images/Cards/Baseball/9074/9074-259386RepBk.jpg
Vladimir Guerrero,2010,130,/ViewCard.cfm/sid/9821/cid/417187/2010-Topps-130-Vladimir-Guerrero,0.45,/Images/Cards/Baseball/9821/9821-130aFr.jpg,/Images/Cards/Baseball/9821/9821-130aBk.jpg
Vladimir Guerrero,2011,67,/ViewCard.cfm/sid/48224/cid/534497/2011-Topps-67-Vladimir-Guerrero,0.43,/Images/Cards/Baseball/48224/48224-534497RepFr.jpg,/Images/Cards/Baseball/48224/48224-534497RepBk.jpg
Roberto Alomar,1989,206,/ViewCard.cfm/sid/134/cid/36457/1989-Topps-206-Roberto-Alomar,0.11,/Images/Cards/Baseball/134/134-206Fr.jpg,/Images/Cards/Baseball/134/134-206Bk.jpg
Roberto Alomar,1990,517,/ViewCard.cfm/sid/147/cid/61418/1990-Topps-517-Roberto-Alomar,0.99,/Images/Cards/Baseball/147/147-517Fr.jpg,/Images/Cards/Baseball/147/147-61418RepBk.jpg
Roberto Alomar,1991,315,/ViewCard.cfm/sid/167/cid/62226/1991-Topps-315-Roberto-Alomar,0.99,/Images/Cards/Baseball/167/167-315Fr.jpg,/Images/Cards/Baseball/167/167-315Bk.jpg
Roberto Alomar,1992,225,/ViewCard.cfm/sid/212/cid/95750/1992-Topps-225-Roberto-Alomar,0.8,/Images/Cards/Baseball/212/212-225Fr.jpg,/Images/Cards/Baseball/212/212-225Bk.jpg
Roberto Alomar,1993,50,/ViewCard.cfm/sid/291/cid/107425/1993-Topps-50-Roberto-Alomar,0.99,/Images/Cards/Baseball/291/291-107425RepFr.jpg,/Images/Cards/Baseball/291/291-50Bk.jpg
Roberto Alomar,1994,675,/ViewCard.cfm/sid/426/cid/123400/1994-Topps-675-Roberto-Alomar,0.97,/Images/Cards/Baseball/426/426-123400RepFr.jpg,/Images/Cards/Baseball/426/426-123400RepBk.jpg
Roberto Alomar,1995,438,/ViewCard.cfm/sid/594/cid/135628/1995-Topps-438-Roberto-Alomar,0.75,/Images/Cards/Baseball/594/594-438Fr.jpg,/Images/Cards/Baseball/594/594-438Bk.jpg
Roberto Alomar,1996,289,/ViewCard.cfm/sid/803/cid/148189/1996-Topps-289-Roberto-Alomar,1,/Images/Cards/Baseball/803/803-289Fr.jpg,/Images/Cards/Baseball/803/803-289Bk.jpg
