name,year,number,price,own,type,ebay
Mariano Rivera,2006,110,0.81,0,first_ballot,1
Albert Pujols,2006,200,0.55,0,first_ballot,1
Ken Griffey Jr,2006,387,0.5,0,first_ballot,1
Miguel Cabrera,2006,410,0.48,0,first_ballot,1
Derek Jeter,2006,500,1.17,0,first_ballot,1
Jim Thome,2006,560,0.3,0,first_ballot,1
Trevor Hoffman,2006,18,0.3,0,bbwaa,1
Craig Biggio,2006,72,0.3,0,bbwaa,1
Vladimir Guerrero,2006,400,0.42,0,bbwaa,1
Jeff Bagwell,2006,573,1.12,0,bbwaa,1
Mike Piazza,2006,585,0.99,0,bbwaa,1
Manny Ramirez,2006,50,0.25,0,vet_or_other,1
Mark Buehrle,2006,90,0.25,0,vet_or_other,1
Robinson Cano,2006,142,0.99,0,vet_or_other,1
Roger Clemens,2006,151,0.45,0,vet_or_other,1
Zack Greinke,2006,203,0.3,0,vet_or_other,1
Billy Wagner,2006,207,0.25,0,vet_or_other,1
Andruw Jones,2006,345,0.3,0,vet_or_other,1
Chase Utley,2006,359,0.35,0,vet_or_other,1
Tim Hudson,2006,388,0.3,0,vet_or_other,1
Omar Vizquel,2006,419,0.27,0,vet_or_other,1
Gary Sheffield,2006,420,0.4,0,vet_or_other,1
Julio Franco,2006,431,0.3,0,vet_or_other,1
Curt Schilling,2006,451,0.15,0,vet_or_other,1
Carlos Beltran,2006,520,0.3,0,vet_or_other,1
Scott Rolen,2006,555,0.2,0,vet_or_other,1
Todd Helton,2006,570,0.3,0,vet_or_other,1
