year,number
1981,11
1981,27
1981,30
1981,37
1981,42
1981,44
1981,45
1981,51
1981,55
1981,57
1981,63
1981,65
1981,67
1981,68
1981,69
1981,70
1981,73
1981,75
1981,81
1981,82
1981,87
1981,91
1981,92
1981,93
1981,94
1981,97
1981,102
1981,103
1981,104
1981,108
1981,111
1981,115
1981,116
1981,118
1981,119
1981,128
1981,129
1981,131
1981,132
1981,134
1981,138
1981,151
1981,153
1981,154
1981,160
1981,163
1981,165
1981,166
1981,168
1981,169
1981,170
1981,171
1981,172
1981,175
1981,177
1981,178
1981,181
1981,182
1981,183
1981,184
1981,185
1981,186
1981,188
1981,189
1981,190
1981,194
1981,197
1981,199
1981,209
1981,211
1981,215
1981,226
1981,227
1981,231
1981,236
1981,239
1981,245
1981,246
1981,247
1981,249
1981,255
1981,256
1981,262
1981,267
1981,268
1981,271
1981,279
1981,283
1981,285
1981,286
1981,288
1981,290
1981,291
1981,292
1981,293
1981,294
1981,296
1981,306
1981,308
1981,311
1981,314
1981,317
1981,318
1981,319
1981,322
1981,323
1981,324
1981,325
1981,331
1981,332
1981,339
1981,340
1981,341
1981,342
1981,343
1981,345
1981,351
1981,352
1981,354
1981,361
1981,363
1981,368
1981,374
1981,378
1981,385
1981,386
1981,391
1981,397
1981,398
1981,409
1981,414
1981,417
1981,422
1981,428
1981,432
1981,433
1981,434
1981,436
1981,437
1981,443
1981,445
1981,447
1981,450
1981,454
1981,458
1981,462
1981,464
1981,470
1981,472
1981,477
1981,481
1981,482
1981,484
1981,487
1981,497
1981,498
1981,501
1981,507
1981,508
1981,514
1981,518
1981,519
1981,525
1981,532
1981,533
1981,536
1981,539
1981,541
1981,542
1981,544
1981,546
1981,548
1981,555
1981,556
1981,557
1981,561
1981,564
1981,565
1981,566
1981,569
1981,573
1981,576
1981,579
1981,583
1981,585
1981,589
1981,591
1981,592
1981,594
1981,595
1981,598
1981,599
1981,601
1981,608
1981,609
1981,611
1981,618
1981,623
1981,625
1981,629
1981,642
1981,644
1981,646
1981,647
1981,654
1981,655
1981,657
1981,658
1981,688
1981,695
1981,698
1981,704
1981,708
1981,710
1981,711
1981,712
1981,713
1981,716
1981,717
1981,718
1982,7
1982,14
1982,16
1982,25
1982,34
1982,49
1982,54
1982,55
1982,65
1982,71
1982,78
1982,79
1982,82
1982,87
1982,88
1982,99
1982,104
1982,107
1982,128
1982,130
1982,133
1982,142
1982,158
1982,170
1982,173
1982,175
1982,178
1982,184
1982,188
1982,192
1982,198
1982,199
1982,204
1982,205
1982,209
1982,219
1982,227
1982,229
1982,235
1982,238
1982,239
1982,242
1982,248
1982,258
1982,277
1982,278
1982,281
1982,282
1982,283
1982,284
1982,293
1982,298
1982,299
1982,302
1982,303
1982,304
1982,310
1982,313
1982,315
1982,326
1982,328
1982,330
1982,331
1982,332
1982,334
1982,357
1982,358
1982,361
1982,369
1982,370
1982,378
1982,386
1982,391
1982,397
1982,398
1982,399
1982,402
1982,408
1982,412
1982,429
1982,434
1982,436
1982,440
1982,442
1982,445
1982,447
1982,454
1982,457
1982,464
1982,468
1982,469
1982,473
1982,474
1982,487
1982,489
1982,498
1982,511
1982,512
1982,513
1982,514
1982,518
1982,520
1982,521
1982,525
1982,530
1982,533
1982,536
1982,539
1982,543
1982,560
1982,562
1982,564
1982,568
1982,571
1982,581
1982,583
1982,592
1982,602
1982,612
1982,613
1982,617
1982,619
1982,622
1982,625
1982,626
1982,629
1982,631
1982,633
1982,635
1982,637
1982,639
1982,644
1982,648
1982,652
1982,657
1982,659
1982,679
1982,683
1982,687
1982,688
1982,690
1982,692
1982,699
1982,708
1982,713
1982,718
1982,724
1982,726
1982,729
1982,734
1982,743
1982,747
1982,751
1982,757
1982,767
1982,784
1982,785
1982,787
