Name,YoB,pct,Year,method
Mariano Rivera,1,100,2019,bbwaa
Derek Jeter,1,99.75,2020,bbwaa
Ken Griffey Jr,1,99.32,2016,bbwaa
Tom Seaver,1,98.84,1992,bbwaa
Nolan Ryan,1,98.79,1999,bbwaa
Cal Ripken,1,98.53,2007,bbwaa
Ty Cobb,1,98.23,1936,bbwaa
George Brett,1,98.19,1999,bbwaa
Hank Aaron,1,97.83,1982,bbwaa
Tony Gwynn,1,97.61,2007,bbwaa
Randy Johnson,1,97.27,2015,bbwaa
Greg Maddux,1,97.2,2014,bbwaa
Chipper Jones,1,97.16,2018,bbwaa
Mike Schmidt,1,96.52,1995,bbwaa
Johnny Bench,1,96.42,1989,bbwaa
Steve Carlton,1,95.61,1994,bbwaa
Honus Wagner,1,95.13,1936,bbwaa
Babe Ruth,1,95.13,1936,bbwaa
Rickey Henderson,1,94.81,2009,bbwaa
Willie Mays,1,94.68,1979,bbwaa
Carl Yastrzemski,1,94.63,1989,bbwaa
Bob Feller,1,93.75,1962,bbwaa
Reggie Jackson,1,93.62,1993,bbwaa
Roberto Clemente,1,93.57,1973,bbwaa
Ted Williams,1,93.38,1966,bbwaa
Stan Musial,1,93.24,1969,bbwaa
Jim Palmer,1,92.57,1990,bbwaa
Brooks Robinson,1,91.98,1983,bbwaa
Tom Glavine,1,91.94,2014,bbwaa
Wade Boggs,1,91.86,2005,bbwaa
Ozzie Smith,1,91.74,2002,bbwaa
Pedro Martinez,1,91.07,2015,bbwaa
Christy Mathewson,1,90.71,1936,bbwaa
Rod Carew,1,90.52,1991,bbwaa
Jim Thome,1,89.81,2018,bbwaa
Frank Robinson,1,89.16,1982,bbwaa
Al Kaline,1,88.31,1980,bbwaa
Mickey Mantle,1,88.22,1974,bbwaa
Sandy Koufax,1,86.87,1972,bbwaa
Roy Halladay,1,85.41,2019,bbwaa
Eddie Murray,1,85.28,2003,bbwaa
Paul Molitor,1,85.18,2004,bbwaa
Dave Winfield,1,84.47,2001,bbwaa
Bob Gibson,1,84.04,1981,bbwaa
Ernie Banks,1,83.81,1977,bbwaa
Frank Thomas,1,83.71,2014,bbwaa
Walter Johnson,1,83.63,1936,bbwaa
Dennis Eckersley,1,83.2,2004,bbwaa
Warren Spahn,1,83.16,1973,bbwaa
John Smoltz,1,82.88,2015,bbwaa
Willie Stargell,1,82.44,1988,bbwaa
Kirby Puckett,1,82.14,2001,bbwaa
Joe Morgan,1,81.76,1990,bbwaa
Willie McCovey,1,81.41,1986,bbwaa
Lou Brock,1,79.75,1985,bbwaa
Jackie Robinson,1,77.5,1962,bbwaa
Robin Yount,1,77.46,1999,bbwaa
Ivan Rodriguez,1,76.02,2017,bbwaa
Vladimir Guerrero,2,92.89,2018,bbwaa
Roberto Alomar,2,90.02,2011,bbwaa
Yogi Berra,2,85.61,1972,bbwaa
Nap Lajoie,2,83.58,1937,bbwaa
Tris Speaker,2,82.09,1937,bbwaa
Rollie Fingers,2,81.16,1992,bbwaa
Carlton Fisk,2,79.56,2000,bbwaa
Whitey Ford,2,77.81,1974,bbwaa
Cy Young,2,76.12,1937,bbwaa
Mel Ott,3,87.17,1951,bbwaa
Carl Hubbell,3,86.96,1947,bbwaa
Barry Larkin,3,86.39,2012,bbwaa
Juan Marichal,3,83.69,1983,bbwaa
Craig Biggio,3,82.7,2015,bbwaa
Pete Alexander,3,80.92,1938,bbwaa
Trevor Hoffman,3,79.86,2018,bbwaa
Gaylord Perry,3,77.2,1991,bbwaa
