year,team,wins,losses,remove,url
1952,Boston Braves,64,89,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Boston Red Sox,76,78,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Brooklyn Dodgers,96,57,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Chicago Cubs,77,77,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Chicago White Sox,81,73,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Cincinnati Reds,69,85,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Cleveland Indians,93,61,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Detroit Tigers,50,104,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,New York Giants,92,62,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,New York Yankees,95,59,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Philadelphia Athletics,79,75,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Philadelphia Phillies,87,67,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Pittsburgh Pirates,42,112,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,St. Louis Browns,64,90,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,St. Louis Cardinals,88,66,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Washington Senators,78,76,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1953,Boston Braves,,,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Boston Red Sox,84,69,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Brooklyn Dodgers,105,49,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Chicago Cubs,65,89,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Chicago White Sox,89,65,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Cincinnati Reds,68,86,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Cleveland Indians,92,62,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Detroit Tigers,60,94,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Milwaukee Braves,92,62,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,New York Giants,70,84,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,New York Yankees,99,52,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Philadelphia Athletics,59,95,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Philadelphia Phillies,83,71,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Pittsburgh Pirates,50,104,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,St. Louis Browns,54,100,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,St. Louis Cardinals,83,71,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Washington Senators,76,76,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1954,Baltimore Orioles,54,100,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Boston Red Sox,69,85,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Brooklyn Dodgers,92,62,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Chicago Cubs,64,90,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Chicago White Sox,94,60,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Cincinnati Reds,,,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Cleveland Indians,111,43,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Detroit Tigers,68,86,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Milwaukee Braves,89,65,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,New York Giants,97,57,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,New York Yankees,103,51,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Philadelphia Athletics,51,103,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Philadelphia Phillies,75,79,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Pittsburgh Pirates,53,101,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,St. Louis Cardinals,72,82,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Washington Senators,66,88,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1955,Baltimore Orioles,57,97,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Boston Red Sox,84,70,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Brooklyn Dodgers,98,55,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Chicago Cubs,72,81,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Chicago White Sox,91,63,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Cincinnati Redlegs,75,79,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Cleveland Indians,93,61,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Detroit Tigers,79,75,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Kansas City Athletics,63,91,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Milwaukee Braves,85,69,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,New York Giants,80,74,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,New York Yankees,96,58,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Philadelphia Phillies,77,77,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Pittsburgh Pirates,60,94,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,St. Louis Cardinals,68,86,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Washington Senators,53,101,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1956,Baltimore Orioles,69,85,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Boston Red Sox,84,70,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Brooklyn Dodgers,93,61,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Chicago Cubs,60,94,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Chicago White Sox,85,69,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Cincinnati Reds,,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Cleveland Indians,88,66,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Detroit Tigers,82,72,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Kansas City Athletics,52,102,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Milwaukee Braves,92,62,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,New York Giants,67,87,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,New York Yankees,97,57,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Philadelphia Phillies,71,83,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Pittsburgh Pirates,66,88,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,St. Louis Cardinals,76,78,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Washington Senators,59,95,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1957,Baltimore Orioles,76,76,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
