name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Cal Ripken Jr,1982,98T,177,0,"",0,/ViewCard.cfm/sid/90/cid/25041/1982-Topps-Traded-98T-Cal-Ripken,/Images/Cards/Baseball/90/90-25041RepFr.jpg,/Images/Cards/Baseball/90/90-25041RepBk.jpg
Greg Maddux,1987,70T,10,0,"",0,/ViewCard.cfm/sid/118/cid/36170/1987-Topps-Traded-70T-Greg-Maddux,/Images/Cards/Baseball/118/118-70TFr.jpg,/Images/Cards/Baseball/118/118-70TBk.jpg
Ken Griffey Jr,1989,41T,15,0,"",0,"/ViewCard.cfm/sid/135/cid/37105/1989-Topps-Traded-41T-Ken-Griffey,-Jr.",/Images/Cards/Baseball/135/135-41TFr.jpg,/Images/Cards/Baseball/135/135-37105RepBk.jpg
Ivan Rodriguez,1991,101T,2.99,0,"",0,/ViewCard.cfm/sid/168/cid/62851/1991-Topps-Traded-101T-Ivan-Rodriguez,/Images/Cards/Baseball/168/168-101TFr.jpg,/Images/Cards/Baseball/168/168-101TBk.jpg
Mariano Rivera,1995,130T,11.5,0,"",0,/ViewCard.cfm/sid/597/cid/136030/1995-Topps-Traded-&-Rookies-130T-Lyle-Mouton-/-Mariano-Rivera,/Images/Cards/Baseball/597/597-130TFr.jpg,/Images/Cards/Baseball/597/597-130TBk.jpg
Albert Pujols,2001,T257,139.99,0,"",0,/ViewCard.cfm/sid/1502/cid/284252/2001-Topps-Traded-&-Rookies-T247-Albert-Pujols,/Images/Cards/Baseball/1502/1502-T247Fr.jpg,/Images/Cards/Baseball/1502/1502-T247Bk.jpg
Miguel Cabrera,2000,T40,89.99,0,"",0,/ViewCard.cfm/sid/1423/cid/253961/2000-Topps-Traded-&-Rookies-T40-Miguel-Cabrera,/Images/Cards/Baseball/1423/1423-T40Fr.jpg,/Images/Cards/Baseball/1423/1423-T40Bk.jpg
Clayton Kershaw,2008,UH240,115,0,"",0,/ViewCard.cfm/sid/8834/cid/82341/2008-Topps-Updates-&-Highlights-UH240-Clayton-Kershaw,/Images/Cards/Baseball/8834/8834-UH240Fr.jpg,/Images/Cards/Baseball/8834/8834-UH240Bk.jpg
Max Scherzer,2008,UH280,89.99,0,"",0,/ViewCard.cfm/sid/8834/cid/82381/2008-Topps-Updates-&-Highlights-UH280-Max-Scherzer,/Images/Cards/Baseball/8834/8834-UH280Fr.jpg,/Images/Cards/Baseball/8834/8834-UH280Bk.jpg
Mike Trout,2011,US175,775,0,"",0,/ViewCard.cfm/sid/58238/cid/3085832/2011-Topps-Update-US175-Mike-Trout,/Images/Cards/Baseball/58238/58238-3085832RepFr.jpg,/Images/Cards/Baseball/58238/58238-3085832RepBk.jpg
Mookie Betts,2014,US26,41,0,"",0,/ViewCard.cfm/sid/94826/cid/6931317/2014-Topps-Update-US-26-Mookie-Betts,/Images/Cards/Baseball/94826/94826-10136699Fr.jpg,/Images/Cards/Baseball/94826/94826-10136699Bk.jpg
