team,n
Boston Red Sox,69
Chicago Cubs,69
Chicago White Sox,69
Cleveland Indians,69
Detroit Tigers,69
New York Yankees,69
Philadelphia Phillies,69
Pittsburgh Pirates,69
St. Louis Cardinals,69
Cincinnati Reds,68
Baltimore Orioles,67
Los Angeles Dodgers,63
San Francisco Giants,63
Minnesota Twins,60
New York Mets,59
Houston Astros,56
Atlanta Braves,55
Oakland Athletics,53
Kansas City Royals,52
San Diego Padres,52
Milwaukee Brewers,50
Montreal Expos,50
California Angels,49
Texas Rangers,49
Seattle Mariners,44
Toronto Blue Jays,44
Milwaukee Braves,39
Washington Senators,38
Brooklyn Dodgers,30
Colorado Rockies,28
Florida Marlins,28
New York Giants,26
Arizona Diamondbacks,24
Los Angeles Angels,23
Tampa Bay Devil Rays,21
Kansas City Athletics,20
Philadelphia Athletics,19
Washington Nationals,17
Boston Braves,14
St. Louis Browns,14
Tampa Bay Rays,13
Anaheim Angels,12
Houston Colt .45s,9
Miami Marlins,9
Cincinnati Redlegs,5
Cleveland Spiders,4
Seattle Pilots,4
