year,team,wins,losses
1952,New York Yankees,95,59
1952,Cleveland Indians,93,61
1952,Chicago White Sox,81,73
1952,Philadelphia Athletics,79,75
1952,Washington Senators,78,76
1952,Boston Red Sox,76,78
1952,St. Louis Browns,64,90
1952,Detroit Tigers,50,104
1952,Brooklyn Dodgers,96,57
1952,New York Giants,92,62
1952,St. Louis Cardinals,88,66
1952,Philadelphia Phillies,87,67
1952,Chicago Cubs,77,77
1952,Cincinnati Reds,69,85
1952,Boston Braves,64,89
1952,Pittsburgh Pirates,42,112
1953,New York Yankees,99,52
1953,Cleveland Indians,92,62
1953,Chicago White Sox,89,65
1953,Boston Red Sox,84,69
1953,Washington Senators,76,76
1953,Detroit Tigers,60,94
1953,Philadelphia Athletics,59,95
1953,St. Louis Browns,54,100
1953,Brooklyn Dodgers,105,49
1953,Milwaukee Braves,92,62
1953,Philadelphia Phillies,83,71
1953,St. Louis Cardinals,83,71
1953,New York Giants,70,84
1953,Cincinnati Reds,68,86
1953,Chicago Cubs,65,89
1953,Pittsburgh Pirates,50,104
1954,Cleveland Indians,111,43
1954,New York Yankees,103,51
1954,Chicago White Sox,94,60
1954,Boston Red Sox,69,85
1954,Detroit Tigers,68,86
1954,Washington Senators,66,88
1954,Baltimore Orioles,54,100
1954,Philadelphia Athletics,51,103
1954,New York Giants,97,57
1954,Brooklyn Dodgers,92,62
1954,Milwaukee Braves,89,65
1954,Philadelphia Phillies,75,79
1954,Cincinnati Redlegs,74,80
1954,St. Louis Cardinals,72,82
1954,Chicago Cubs,64,90
1954,Pittsburgh Pirates,53,101
1955,New York Yankees,96,58
1955,Cleveland Indians,93,61
1955,Chicago White Sox,91,63
1955,Boston Red Sox,84,70
1955,Detroit Tigers,79,75
1955,Kansas City Athletics,63,91
1955,Baltimore Orioles,57,97
1955,Washington Senators,53,101
1955,Brooklyn Dodgers,98,55
1955,Milwaukee Braves,85,69
1955,New York Giants,80,74
1955,Philadelphia Phillies,77,77
1955,Cincinnati Redlegs,75,79
1955,Chicago Cubs,72,81
1955,St. Louis Cardinals,68,86
1955,Pittsburgh Pirates,60,94
1956,New York Yankees,97,57
1956,Cleveland Indians,88,66
1956,Chicago White Sox,85,69
1956,Boston Red Sox,84,70
1956,Detroit Tigers,82,72
1956,Baltimore Orioles,69,85
1956,Washington Senators,59,95
1956,Kansas City Athletics,52,102
1956,Brooklyn Dodgers,93,61
1956,Milwaukee Braves,92,62
1956,Cincinnati Redlegs,91,63
1956,St. Louis Cardinals,76,78
1956,Philadelphia Phillies,71,83
1956,New York Giants,67,87
1956,Pittsburgh Pirates,66,88
1956,Chicago Cubs,60,94
1957,New York Yankees,98,56
1957,Chicago White Sox,90,64
1957,Boston Red Sox,82,72
1957,Detroit Tigers,78,76
1957,Baltimore Orioles,76,76
1957,Cleveland Indians,76,77
1957,Kansas City Athletics,59,94
1957,Washington Senators,55,99
1957,Milwaukee Braves,95,59
1957,St. Louis Cardinals,87,67
1957,Brooklyn Dodgers,84,70
1957,Cincinnati Redlegs,80,74
1957,Philadelphia Phillies,77,77
1957,New York Giants,69,85
1957,Chicago Cubs,62,92
1957,Pittsburgh Pirates,62,92
1958,New York Yankees,92,62
1958,Chicago White Sox,82,72
1958,Boston Red Sox,79,75
1958,Cleveland Indians,77,76
1958,Detroit Tigers,77,77
1958,Baltimore Orioles,74,79
1958,Kansas City Athletics,73,81
1958,Washington Senators,61,93
1958,Milwaukee Braves,92,62
1958,Pittsburgh Pirates,84,70
1958,San Francisco Giants,80,74
1958,Cincinnati Redlegs,76,78
1958,Chicago Cubs,72,82
1958,St. Louis Cardinals,72,82
1958,Los Angeles Dodgers,71,83
1958,Philadelphia Phillies,69,85
1959,Chicago White Sox,94,60
1959,Cleveland Indians,89,65
1959,New York Yankees,79,75
1959,Detroit Tigers,76,78
1959,Boston Red Sox,75,79
1959,Baltimore Orioles,74,80
1959,Kansas City Athletics,66,88
1959,Washington Senators,63,91
1959,Los Angeles Dodgers,88,68
1959,Milwaukee Braves,86,70
1959,San Francisco Giants,83,71
1959,Pittsburgh Pirates,78,76
1959,Chicago Cubs,74,80
1959,Cincinnati Reds,74,80
1959,St. Louis Cardinals,71,83
1959,Philadelphia Phillies,64,90
1960,New York Yankees,97,57
1960,Baltimore Orioles,89,65
1960,Chicago White Sox,87,67
1960,Cleveland Indians,76,78
1960,Washington Senators,73,81
1960,Detroit Tigers,71,83
1960,Boston Red Sox,65,89
1960,Kansas City Athletics,58,96
1960,Pittsburgh Pirates,95,59
1960,Milwaukee Braves,88,66
1960,St. Louis Cardinals,86,68
1960,Los Angeles Dodgers,82,72
1960,San Francisco Giants,79,75
1960,Cincinnati Reds,67,87
1960,Chicago Cubs,60,94
1960,Philadelphia Phillies,59,95
1961,New York Yankees,109,53
1961,Detroit Tigers,101,61
1961,Baltimore Orioles,95,67
1961,Chicago White Sox,86,76
1961,Cleveland Indians,78,83
1961,Boston Red Sox,76,86
1961,Minnesota Twins,70,90
1961,Los Angeles Angels,70,91
1961,Kansas City Athletics,61,100
1961,Washington Senators,61,100
1961,Cincinnati Reds,93,61
1961,Los Angeles Dodgers,89,65
1961,San Francisco Giants,85,69
1961,Milwaukee Braves,83,71
1961,St. Louis Cardinals,80,74
1961,Pittsburgh Pirates,75,79
1961,Chicago Cubs,64,90
1961,Philadelphia Phillies,47,107
1962,New York Yankees,96,66
1962,Minnesota Twins,91,71
1962,Los Angeles Angels,86,76
1962,Detroit Tigers,85,76
1962,Chicago White Sox,85,77
1962,Cleveland Indians,80,82
1962,Baltimore Orioles,77,85
1962,Boston Red Sox,76,84
1962,Kansas City Athletics,72,90
1962,Washington Senators,60,101
1962,San Francisco Giants,103,62
1962,Los Angeles Dodgers,102,63
1962,Cincinnati Reds,98,64
1962,Pittsburgh Pirates,93,68
1962,Milwaukee Braves,86,76
1962,St. Louis Cardinals,84,78
1962,Philadelphia Phillies,81,80
1962,Houston Colt .45s,64,96
1962,Chicago Cubs,59,103
1962,New York Mets,40,120
1963,New York Yankees,104,57
1963,Chicago White Sox,94,68
1963,Minnesota Twins,91,70
1963,Baltimore Orioles,86,76
1963,Cleveland Indians,79,83
1963,Detroit Tigers,79,83
1963,Boston Red Sox,76,85
1963,Kansas City Athletics,73,89
1963,Los Angeles Angels,70,91
1963,Washington Senators,56,106
1963,Los Angeles Dodgers,99,63
1963,St. Louis Cardinals,93,69
1963,San Francisco Giants,88,74
1963,Philadelphia Phillies,87,75
1963,Cincinnati Reds,86,76
1963,Milwaukee Braves,84,78
1963,Chicago Cubs,82,80
1963,Pittsburgh Pirates,74,88
1963,Houston Colt .45s,66,96
1963,New York Mets,51,111
1964,New York Yankees,99,63
1964,Chicago White Sox,98,64
1964,Baltimore Orioles,97,65
1964,Detroit Tigers,85,77
1964,Los Angeles Angels,82,80
1964,Cleveland Indians,79,83
1964,Minnesota Twins,79,83
1964,Boston Red Sox,72,90
1964,Washington Senators,62,100
1964,Kansas City Athletics,57,105
1964,St. Louis Cardinals,93,69
1964,Cincinnati Reds,92,70
1964,Philadelphia Phillies,92,70
1964,San Francisco Giants,90,72
1964,Milwaukee Braves,88,74
1964,Los Angeles Dodgers,80,82
1964,Pittsburgh Pirates,80,82
1964,Chicago Cubs,76,86
1964,Houston Colt .45s,66,96
1964,New York Mets,53,109
1965,Minnesota Twins,102,60
1965,Chicago White Sox,95,67
1965,Baltimore Orioles,94,68
1965,Detroit Tigers,89,73
1965,Cleveland Indians,87,75
1965,New York Yankees,77,85
1965,California Angels,75,87
1965,Washington Senators,70,92
1965,Boston Red Sox,62,100
1965,Kansas City Athletics,59,103
1965,Los Angeles Dodgers,97,65
1965,San Francisco Giants,95,67
1965,Pittsburgh Pirates,90,72
1965,Cincinnati Reds,89,73
1965,Milwaukee Braves,86,76
1965,Philadelphia Phillies,85,76
1965,St. Louis Cardinals,80,81
1965,Chicago Cubs,72,90
1965,Houston Astros,65,97
1965,New York Mets,50,112
1966,Baltimore Orioles,97,63
1966,Minnesota Twins,89,73
1966,Detroit Tigers,88,74
1966,Chicago White Sox,83,79
1966,Cleveland Indians,81,81
1966,California Angels,80,82
1966,Kansas City Athletics,74,86
1966,Washington Senators,71,88
1966,Boston Red Sox,72,90
1966,New York Yankees,70,89
1966,Los Angeles Dodgers,95,67
1966,San Francisco Giants,93,68
1966,Pittsburgh Pirates,92,70
1966,Philadelphia Phillies,87,75
1966,Atlanta Braves,85,77
1966,St. Louis Cardinals,83,79
1966,Cincinnati Reds,76,84
1966,Houston Astros,72,90
1966,New York Mets,66,95
1966,Chicago Cubs,59,103
1967,Boston Red Sox,92,70
1967,Detroit Tigers,91,71
1967,Minnesota Twins,91,71
1967,Chicago White Sox,89,73
1967,California Angels,84,77
1967,Baltimore Orioles,76,85
1967,Washington Senators,76,85
1967,Cleveland Indians,75,87
1967,New York Yankees,72,90
1967,Kansas City Athletics,62,99
1967,St. Louis Cardinals,101,60
1967,San Francisco Giants,91,71
1967,Chicago Cubs,87,74
1967,Cincinnati Reds,87,75
1967,Philadelphia Phillies,82,80
1967,Pittsburgh Pirates,81,81
1967,Atlanta Braves,77,85
1967,Los Angeles Dodgers,73,89
1967,Houston Astros,69,93
1967,New York Mets,61,101
1968,Detroit Tigers,103,59
1968,Baltimore Orioles,91,71
1968,Cleveland Indians,86,75
1968,Boston Red Sox,86,76
1968,New York Yankees,83,79
1968,Oakland Athletics,82,80
1968,Minnesota Twins,79,83
1968,California Angels,67,95
1968,Chicago White Sox,67,95
1968,Washington Senators,65,96
1968,St. Louis Cardinals,97,65
1968,San Francisco Giants,88,74
1968,Chicago Cubs,84,78
1968,Cincinnati Reds,83,79
1968,Atlanta Braves,81,81
1968,Pittsburgh Pirates,80,82
1968,Los Angeles Dodgers,76,86
1968,Philadelphia Phillies,76,86
1968,New York Mets,73,89
1968,Houston Astros,72,90
1969,Baltimore Orioles,109,53
1969,Detroit Tigers,90,72
1969,Boston Red Sox,87,75
1969,Washington Senators,86,76
1969,New York Yankees,80,81
1969,Cleveland Indians,62,99
1969,Minnesota Twins,97,65
1969,Oakland Athletics,88,74
1969,California Angels,71,91
1969,Kansas City Royals,69,93
1969,Chicago White Sox,68,94
1969,Seattle Pilots,64,98
1969,New York Mets,100,62
1969,Chicago Cubs,92,70
1969,Pittsburgh Pirates,88,74
1969,St. Louis Cardinals,87,75
1969,Philadelphia Phillies,63,99
1969,Montreal Expos,52,110
1969,Atlanta Braves,93,69
1969,San Francisco Giants,90,72
1969,Cincinnati Reds,89,73
1969,Los Angeles Dodgers,85,77
1969,Houston Astros,81,81
1969,San Diego Padres,52,110
1970,Baltimore Orioles,108,54
1970,New York Yankees,93,69
1970,Boston Red Sox,87,75
1970,Detroit Tigers,79,83
1970,Cleveland Indians,76,86
1970,Washington Senators,70,92
1970,Minnesota Twins,98,64
1970,Oakland Athletics,89,73
1970,California Angels,86,76
1970,Kansas City Royals,65,97
1970,Milwaukee Brewers,65,97
1970,Chicago White Sox,56,106
1970,Pittsburgh Pirates,89,73
1970,Chicago Cubs,84,78
1970,New York Mets,83,79
1970,St. Louis Cardinals,76,86
1970,Philadelphia Phillies,73,88
1970,Montreal Expos,73,89
1970,Cincinnati Reds,102,60
1970,Los Angeles Dodgers,87,74
1970,San Francisco Giants,86,76
1970,Houston Astros,79,83
1970,Atlanta Braves,76,86
1970,San Diego Padres,63,99
1971,Baltimore Orioles,101,57
1971,Detroit Tigers,91,71
1971,Boston Red Sox,85,77
1971,New York Yankees,82,80
1971,Washington Senators,63,96
1971,Cleveland Indians,60,102
1971,Oakland Athletics,101,60
1971,Kansas City Royals,85,76
1971,Chicago White Sox,79,83
1971,California Angels,76,86
1971,Minnesota Twins,74,86
1971,Milwaukee Brewers,69,92
1971,Pittsburgh Pirates,97,65
1971,St. Louis Cardinals,90,72
1971,Chicago Cubs,83,79
1971,New York Mets,83,79
1971,Montreal Expos,71,90
1971,Philadelphia Phillies,67,95
1971,San Francisco Giants,90,72
1971,Los Angeles Dodgers,89,73
1971,Atlanta Braves,82,80
1971,Cincinnati Reds,79,83
1971,Houston Astros,79,83
1971,San Diego Padres,61,100
1972,Detroit Tigers,86,70
1972,Boston Red Sox,85,70
1972,Baltimore Orioles,80,74
1972,New York Yankees,79,76
1972,Cleveland Indians,72,84
1972,Milwaukee Brewers,65,91
1972,Oakland Athletics,93,62
1972,Chicago White Sox,87,67
1972,Minnesota Twins,77,77
1972,Kansas City Royals,76,78
1972,California Angels,75,80
1972,Texas Rangers,54,100
1972,Pittsburgh Pirates,96,59
1972,Chicago Cubs,85,70
1972,New York Mets,83,73
1972,St. Louis Cardinals,75,81
1972,Montreal Expos,70,86
1972,Philadelphia Phillies,59,97
1972,Cincinnati Reds,95,59
1972,Los Angeles Dodgers,85,70
1972,Houston Astros,84,69
1972,Atlanta Braves,70,84
1972,San Francisco Giants,69,86
1972,San Diego Padres,58,95
1973,Baltimore Orioles,97,65
1973,Boston Red Sox,89,73
1973,Detroit Tigers,85,77
1973,New York Yankees,80,82
1973,Milwaukee Brewers,74,88
1973,Cleveland Indians,71,91
1973,Oakland Athletics,94,68
1973,Kansas City Royals,88,74
1973,Minnesota Twins,81,81
1973,California Angels,79,83
1973,Chicago White Sox,77,85
1973,Texas Rangers,57,105
1973,New York Mets,82,79
1973,St. Louis Cardinals,81,81
1973,Pittsburgh Pirates,80,82
1973,Montreal Expos,79,83
1973,Chicago Cubs,77,84
1973,Philadelphia Phillies,71,91
1973,Cincinnati Reds,99,63
1973,Los Angeles Dodgers,95,66
1973,San Francisco Giants,88,74
1973,Houston Astros,82,80
1973,Atlanta Braves,76,85
1973,San Diego Padres,60,102
1974,Baltimore Orioles,91,71
1974,New York Yankees,89,73
1974,Boston Red Sox,84,78
1974,Cleveland Indians,77,85
1974,Milwaukee Brewers,76,86
1974,Detroit Tigers,72,90
1974,Oakland Athletics,90,72
1974,Texas Rangers,84,76
1974,Minnesota Twins,82,80
1974,Chicago White Sox,80,80
1974,Kansas City Royals,77,85
1974,California Angels,68,94
1974,Pittsburgh Pirates,88,74
1974,St. Louis Cardinals,86,75
1974,Philadelphia Phillies,80,82
1974,Montreal Expos,79,82
1974,New York Mets,71,91
1974,Chicago Cubs,66,96
1974,Los Angeles Dodgers,102,60
1974,Cincinnati Reds,98,64
1974,Atlanta Braves,88,74
1974,Houston Astros,81,81
1974,San Francisco Giants,72,90
1974,San Diego Padres,60,102
1975,Boston Red Sox,95,65
1975,Baltimore Orioles,90,69
1975,New York Yankees,83,77
1975,Cleveland Indians,79,80
1975,Milwaukee Brewers,68,94
1975,Detroit Tigers,57,102
1975,Oakland Athletics,98,64
1975,Kansas City Royals,91,71
1975,Texas Rangers,79,83
1975,Minnesota Twins,76,83
1975,Chicago White Sox,75,86
1975,California Angels,72,89
1975,Pittsburgh Pirates,92,69
1975,Philadelphia Phillies,86,76
1975,New York Mets,82,80
1975,St. Louis Cardinals,82,80
1975,Chicago Cubs,75,87
1975,Montreal Expos,75,87
1975,Cincinnati Reds,108,54
1975,Los Angeles Dodgers,88,74
1975,San Francisco Giants,80,81
1975,San Diego Padres,71,91
1975,Atlanta Braves,67,94
1975,Houston Astros,64,97
1976,New York Yankees,97,62
1976,Baltimore Orioles,88,74
1976,Boston Red Sox,83,79
1976,Cleveland Indians,81,78
1976,Detroit Tigers,74,87
1976,Milwaukee Brewers,66,95
1976,Kansas City Royals,90,72
1976,Oakland Athletics,87,74
1976,Minnesota Twins,85,77
1976,California Angels,76,86
1976,Texas Rangers,76,86
1976,Chicago White Sox,64,97
1976,Philadelphia Phillies,101,61
1976,Pittsburgh Pirates,92,70
1976,New York Mets,86,76
1976,Chicago Cubs,75,87
1976,St. Louis Cardinals,72,90
1976,Montreal Expos,55,107
1976,Cincinnati Reds,102,60
1976,Los Angeles Dodgers,92,70
1976,Houston Astros,80,82
1976,San Francisco Giants,74,88
1976,San Diego Padres,73,89
1976,Atlanta Braves,70,92
1977,New York Yankees,100,62
1977,Baltimore Orioles,97,64
1977,Boston Red Sox,97,64
1977,Detroit Tigers,74,88
1977,Cleveland Indians,71,90
1977,Milwaukee Brewers,67,95
1977,Toronto Blue Jays,54,107
1977,Kansas City Royals,102,60
1977,Texas Rangers,94,68
1977,Chicago White Sox,90,72
1977,Minnesota Twins,84,77
1977,California Angels,74,88
1977,Seattle Mariners,64,98
1977,Oakland Athletics,63,98
1977,Philadelphia Phillies,101,61
1977,Pittsburgh Pirates,96,66
1977,St. Louis Cardinals,83,79
1977,Chicago Cubs,81,81
1977,Montreal Expos,75,87
1977,New York Mets,64,98
1977,Los Angeles Dodgers,98,64
1977,Cincinnati Reds,88,74
1977,Houston Astros,81,81
1977,San Francisco Giants,75,87
1977,San Diego Padres,69,93
1977,Atlanta Braves,61,101
1978,New York Yankees,100,63
1978,Boston Red Sox,99,64
1978,Milwaukee Brewers,93,69
1978,Baltimore Orioles,90,71
1978,Detroit Tigers,86,76
1978,Cleveland Indians,69,90
1978,Toronto Blue Jays,59,102
1978,Kansas City Royals,92,70
1978,California Angels,87,75
1978,Texas Rangers,87,75
1978,Minnesota Twins,73,89
1978,Chicago White Sox,71,90
1978,Oakland Athletics,69,93
1978,Seattle Mariners,56,104
1978,Philadelphia Phillies,90,72
1978,Pittsburgh Pirates,88,73
1978,Chicago Cubs,79,83
1978,Montreal Expos,76,86
1978,St. Louis Cardinals,69,93
1978,New York Mets,66,96
1978,Los Angeles Dodgers,95,67
1978,Cincinnati Reds,92,69
1978,San Francisco Giants,89,73
1978,San Diego Padres,84,78
1978,Houston Astros,74,88
1978,Atlanta Braves,69,93
1979,Baltimore Orioles,102,57
1979,Milwaukee Brewers,95,66
1979,Boston Red Sox,91,69
1979,New York Yankees,89,71
1979,Detroit Tigers,85,76
1979,Cleveland Indians,81,80
1979,Toronto Blue Jays,53,109
1979,California Angels,88,74
1979,Kansas City Royals,85,77
1979,Texas Rangers,83,79
1979,Minnesota Twins,82,80
1979,Chicago White Sox,73,87
1979,Seattle Mariners,67,95
1979,Oakland Athletics,54,108
1979,Pittsburgh Pirates,98,64
1979,Montreal Expos,95,65
1979,St. Louis Cardinals,86,76
1979,Philadelphia Phillies,84,78
1979,Chicago Cubs,80,82
1979,New York Mets,63,99
1979,Cincinnati Reds,90,71
1979,Houston Astros,89,73
1979,Los Angeles Dodgers,79,83
1979,San Francisco Giants,71,91
1979,San Diego Padres,68,93
1979,Atlanta Braves,66,94
1980,New York Yankees,103,59
1980,Baltimore Orioles,100,62
1980,Milwaukee Brewers,86,76
1980,Detroit Tigers,84,78
1980,Boston Red Sox,83,77
1980,Cleveland Indians,79,81
1980,Toronto Blue Jays,67,95
1980,Kansas City Royals,97,65
1980,Oakland Athletics,83,79
1980,Minnesota Twins,77,84
1980,Texas Rangers,76,85
1980,Chicago White Sox,70,90
1980,California Angels,65,95
1980,Seattle Mariners,59,103
1980,Philadelphia Phillies,91,71
1980,Montreal Expos,90,72
1980,Pittsburgh Pirates,83,79
