year,team,remove,url
1952,Boston Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Philadelphia Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,St. Louis Browns,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1952,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/26/1952-Topps
1953,Boston Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Philadelphia Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,St. Louis Browns,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1953,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/29/1953-Topps
1954,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Philadelphia Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1954,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/33/1954-Topps
1955,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Cincinnati Redlegs,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1955,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/36/1955-Topps
1956,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1957,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Cincinnati Redlegs,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
